来源文件：/Users/xiaodi/Desktop/xingrun.web/review_plan_templates/pdf_output/新录音 5.m4a
识别语言：zh
语言概率：1

[00:01 - 00:04] 好,第一年是第一年是第一个时期的一句话的关节
[20:21 - 20:22] 他也没讲那个戏果我真的吗
[20:22 - 20:24] 好 他不给一分人利用数
[20:24 - 20:25] 六句他的强打
[20:26 - 20:27] 他都打我了
[20:27 - 20:28] 他都折磨两个版
[20:28 - 20:30] 好 那个体
[20:34 - 20:35] 高20分钟
[20:36 - 20:37] 很多了
[20:39 - 20:40] 好 老猫
[20:40 - 20:43] 我们8BGBRADTWAMEN
[20:43 - 20:45] 点个小时高啊那么好
[20:46 - 20:49] 我载给你们中介一哈以广播了这个体型
[20:49 - 20:51] 整个高一打高二节短
[20:51 - 20:53] 其实浪贡都来死了
[20:53 - 20:55] 一个低功浪贡都来死了体型
[20:55 - 21:00] 第一个我们已经在5月1号里升收拾了
[21:00 - 21:02] 只要走超级一点
[21:02 - 21:12] 第一个体型就要超级一点
[21:12 - 21:14] 我也给你们试用了嘴
[21:14 - 21:17] 但有保律的方法直接塞
[21:17 - 21:18] 塞完之內都會交到
[21:19 - 21:19] OK
[21:19 - 21:21] 余余跳度都會交到
[21:21 - 21:23] 那至於每一時
[21:23 - 21:24] 都會有不同的條件
[21:25 - 21:26] 那你一定是要在左翼裡面騎吧
[21:26 - 21:28] 它公布到的程度是嗎
[21:28 - 21:29] 很重要
[21:29 - 21:30] 好
[21:30 - 21:34] LAMO跟這樣一旦是出現
[21:34 - 21:35] 師父
[21:35 - 21:36] 師父
[21:36 - 21:37] 從內心體
[21:38 - 21:38] 打
[21:38 - 21:40] 只能讓你自衛到的一個點
[21:40 - 21:40] 照不知點
[21:41 - 21:42] OK
[21:42 - 21:44] LAMO他起舞下對一套來年
[21:44 - 21:49] 第四期18期聯防委員會提電話
[21:49 - 21:53] 蘭芳,他都會給你開到去點那個
[21:53 - 21:56] 叫做頂B分電
[21:56 - 22:03] 我們所有的名字,主要是誰來的董電
[22:03 - 22:11] 蘭芳,兩天我主烈小姐是誰是一道嘴尖的董電
[22:11 - 22:16] 但是我们的作为一直有三个星期
[22:16 - 22:18] 不要人要将你东西绿发血
[22:18 - 22:20] 比如说低电
[22:20 - 22:22] 来
[22:22 - 22:24] Q电尾
[22:24 - 22:25] 连上面的电
[22:25 - 22:29] 看到了
[22:29 - 22:31] 我们说的信用了方法
[22:31 - 22:33] 有没有什么通法
[22:33 - 22:34] 还是
[22:34 - 22:35] Qs
[22:35 - 22:37] 用电电关系
[22:37 - 22:39] 比如说有些人是PCQ
[23:09 - 23:11] 你再接火
[23:11 - 23:13] 你到我了 重点吧
[23:13 - 23:14] 重点吧
[23:14 - 23:15] 重点吧 重点吧
[23:15 - 23:18] 你来想什么 应品
[23:18 - 23:20] 好 组织了
[23:20 - 23:21] 没有
[23:21 - 23:23] 好 拉木大伯爷的点点
[23:23 - 23:30] 然后主要编我们等于吸一家
[23:30 - 23:33] 看到不对
[23:33 - 23:34] 比如说我们上我们伯爷
[23:34 - 23:36] 然后说的顶平分点的方法
[23:36 - 23:38] OK 然后
[23:38 - 23:39] 连个出口
[23:39 - 23:40] 你们看了些事吧
[23:40 - 23:41] 也就相符了
[23:41 - 23:42] 是人相符了
[23:42 - 23:44] 因为如果只要化出的话
[23:44 - 23:46] 你要去谁那个爹
[23:46 - 23:47] 那个董弟
[23:47 - 23:49] 你都不现在还是那么教学
[23:49 - 23:50] 看到没有
[23:50 - 23:51] 两个平面
[23:51 - 23:52] 两个平面你教学
[23:52 - 23:53] 你现在看嘛
[23:53 - 23:54] 你会来出来
[23:54 - 23:55] 就要化
[23:55 - 23:55] 不能
[23:55 - 23:55] 不能
[23:55 - 23:56] 不能
[23:56 - 23:56] 看到没有
[23:56 - 23:57] 我怎么去
[23:57 - 23:58] 这句问题里
[23:58 - 24:00] 而且大家不平面
[24:00 - 24:01] 教学一平面
[24:01 - 24:01] 一平面
[24:01 - 24:02] 平心
[24:02 - 24:02] 对不对
[24:02 - 24:04] 两个平心心心
[24:04 - 24:06] 能够做伤了
[24:06 - 24:07] 它们教学一历史
[24:07 - 24:08] 平心的一平面
[24:08 - 24:08] 对
[24:08 - 24:09] 对吧
[24:09 - 24:10] 老猫
[24:10 - 24:13] 我们有一点意义是这些高度的
[24:13 - 24:14] 我所有的声音都会死的
[24:14 - 24:16] 小心五分来都是人家的气候度
[24:16 - 24:18] 然后我们就要将第三个
[24:18 - 24:20] 来个东西将玩
[24:20 - 24:21] 基本上
[24:21 - 24:22] 等一下
[24:22 - 24:23] 很显的
[24:23 - 24:25] 很显的都是这个
[24:25 - 24:26] 很显的
[24:26 - 24:28] 拿到很
[24:28 - 24:30] 好 基本上所有的一个
[24:30 - 24:32] 都是很样子的
[24:32 - 24:33] 因为
[24:33 - 24:34] 宰烂
[24:34 - 24:36] 都只会烂到哪个样子了
[24:36 - 24:38] 宰烂都烂
[24:38 - 24:43] 都是爛爛爛的那種18屆19屆的那種爛度了
[24:43 - 24:46] 所以說反正問題即便什麼時候
[24:48 - 24:49] 都是我們
[24:50 - 24:54] 魚爵能夠失用到七天泡半小時
[24:54 - 24:55] 你看看這幾分鐘是那種
[24:55 - 24:56] 導致有一個
[24:56 - 24:58] 那呢
[24:58 - 25:00] 那呢 臉中的是天空體
[25:00 - 25:02] 缺點體嘛 要不要簡單
[25:02 - 25:05] 那呢 這種 追字問題
[25:06 - 25:07] 所以說
[25:07 - 25:10] 我們請教
[25:10 - 25:11] 都會將你使用
[25:11 - 25:13] 我們呢 第三個
[25:13 - 25:15] 叫做反正問題
[25:15 - 25:20] 那你就讓他甩車打力一下
[25:20 - 25:22] 對手只有反正問題嗎
[25:22 - 25:24] 不是 死路死的一樣
[25:24 - 25:25] 反正 另外一個好
[25:25 - 25:27] 最後一個就是追字問題
[25:27 - 25:32] 我會有時你們要騎沒考試
[25:32 - 25:34] 你怎麼說的
[25:34 - 25:35] 你們才會只能騎給他
[25:35 - 25:36] 考他
[25:36 - 25:38] 考他都考試吧
[25:38 - 25:40] 我真的沒一點
[25:40 - 25:41] 出一想
[25:41 - 25:41] 出一想
[25:41 - 25:42] 這裡玩
[25:42 - 25:43] 他們說我想說
[25:43 - 25:44] 我想整塊人
[25:44 - 25:46] 我希望拉去這種體內
[25:46 - 25:48] 來出這四把體
[25:48 - 25:49] 好
[25:49 - 25:50] 每個東西都要多好
[25:50 - 25:53] 你們說說想離了個
[25:53 - 25:56] 應該都請問第一句話
[25:56 - 25:59] 我會跟你們開七下一個張姐叫做
[25:59 - 26:00] 你以後的小體
[26:00 - 26:02] 小體我們所要提供叫做
[26:02 - 26:03] 秋冥問題
[26:03 - 26:04] 我以提秋
[26:05 - 26:06] 哪個
[26:06 - 26:08] 我相信手手都沒兩個家人都狗了
[26:08 - 26:08] OK
[26:08 - 26:10] 準備要出來兩個會死的
[26:10 - 26:11] 家人你家
[26:11 - 26:12] 哪個
[26:12 - 26:13] 都是我們所要的
[26:13 - 26:14] 連全實是最好處處的
[26:14 - 26:15] 住他連
[26:15 - 26:16] 沒有問題
[26:16 - 26:16] 連實家
[26:16 - 26:18] 幾乎吧
[26:18 - 26:18] 大家好
[26:18 - 26:20] 我們都會說實際的沒問題
[26:23 - 26:24] 連鎚子都沒有
[26:24 - 26:27] 今天沒問題
[26:27 - 26:28] 講嗎
[26:28 - 26:32] 都是一個整方線、整方貼在這時候
[26:32 - 26:35] 我所給你們的懷疑黨
[26:35 - 26:38] 懷疑黨和穩定一個階邊
[26:38 - 26:41] 連結一個階邊長好這樣
[26:41 - 26:43] 只能夠來做這個階邊問題
[26:43 - 26:47] 好,一級各種體諜
[26:47 - 26:50] 比如說我們下一集會...下一集會比較
[26:50 - 26:52] 比如說三整選體諜
[26:52 - 26:54] 三語選體諜
[26:54 - 26:56] 等於是我們離聚會退的新鮮
[26:56 - 26:57] 好 下一张玩
[26:57 - 26:59] 一句话真贴手
[26:59 - 27:01] 来吧
[27:01 - 27:03] 你们都会出现
[27:03 - 27:04] 你们说都会出现分析
[27:04 - 27:05] 有日常都可能说
[27:05 - 27:06] 就可能想两
[27:06 - 27:08] 有时候小孩都会开始说
[27:08 - 27:11] 拍那个冬季改绿
[27:11 - 27:13] 好了 我们的感应试试
[27:13 - 27:14] 我们有俗习亲模
[27:14 - 27:16] 见不来 辛苦了
[27:16 - 27:18] 没来辛苦的
[27:18 - 27:19] 俗家有要黑色了
[27:19 - 27:20] 俗家
[27:20 - 27:21] 我都俗习亲模
[27:21 - 27:22] 俗家就知道了
[27:22 - 27:24] 其实差不多
[27:24 - 27:26] 因为我那次你们起模是不是七月份
[27:26 - 27:29] 七月啊 然后应该不出意外的话
[27:29 - 27:30] 那吗
[27:30 - 27:33] 我们从五月一号开始
[27:33 - 27:34] 你不是起来啊 我跟上口
[27:34 - 27:36] 你来的时候 我求你考量
[27:36 - 27:38] 我妈跟我说起来 我们喝点饭
[27:38 - 27:40] 你一起来 然后总有一层的饭店
[27:40 - 27:42] 你
[27:42 - 27:42] 我们
[27:42 - 27:43] 我都没起来
[27:43 - 27:44] 我睡几个
[27:44 - 27:45] 啊
[27:45 - 27:46] 我睡了
[27:46 - 27:48] 我们还是十一号
[27:48 - 27:49] 十一不是要点酒
[27:49 - 27:50] 我好听我去
[27:50 - 27:51] 我还没起来
[27:51 - 27:52] 都说你看吧
[27:52 - 27:54] 未咬跟那三个空
[27:54 - 27:57] 然后路越一号开社会我们整个差不多死
[27:57 - 27:58] 走一段时间
[27:58 - 28:00] 看你明白重靠债个客家
[28:00 - 28:02] 有的时候我们可以来
[28:02 - 28:03] 整理
[28:03 - 28:06] 死走一段时间来把你们的奇贸的捲子
[28:06 - 28:08] 也把自己的特别合适
[28:08 - 28:09] 再来一个又我们也不可以
[28:09 - 28:10] 好
[28:10 - 28:13] 所以我来就是中国的接下来的一节
[28:13 - 28:15] 我们亲密接着
[28:15 - 28:16] 我们亲密可取空吗
[28:16 - 28:17] 另外一方的一个事情
[28:17 - 28:18] 我们一定是
[28:18 - 28:19] 比如说我小晕
[28:19 - 28:21] 如果只有球上的前面两步
[28:21 - 28:23] 只有我们的周情
[28:23 - 28:25] 对这个我们才会有一国类的现在浮潜
[28:25 - 28:27] 浮潜的话就像球上的高
[28:27 - 28:28] 说话不靠
[28:28 - 28:29] 说话不靠
[28:29 - 28:32] 我们是我们的心目可取靠
[28:32 - 28:34] 取靠的开课一边死啥
[28:34 - 28:35] 开课一边死啥
[28:35 - 28:36] 咋了开课一边
[28:36 - 28:37] 咋了
[28:37 - 28:39] 咋了
[28:39 - 28:40] 开课一边死
[28:40 - 28:42] 老板我们都只有一整天
[28:42 - 28:43] 还是将你提去后
[28:43 - 28:45] 还是将你给了反正问题
[28:45 - 28:47] 反正今天还是要练书的
[28:47 - 28:50] 都是一個我已經跟妳講過了
[28:50 - 28:51] 我講了
[28:51 - 28:55] 黎七七七七號平明華
[28:55 - 28:56] 一級
[28:57 - 28:58] 看好
[28:58 - 29:01] 反正我已經貼足了一個
[29:01 - 29:02] 視訊一樣的叫做
[29:02 - 29:04] 絕對立寫
[29:05 - 29:06] 我看就是大老口
[29:06 - 29:10] 寫錯了
[29:11 - 29:13] 我怎麼在來一遍
[29:15 - 29:16] 我
[29:16 - 29:16] 我
[29:16 - 29:22] 你真奇怪
[29:22 - 29:26] 好
[29:26 - 29:28] 我们只放自己干
[29:28 - 29:31] 啥子要绝对你醒
[29:31 - 29:35] 因为这个就快要几个吹着
[29:35 - 29:37] D-O吹着
[29:37 - 29:39] 大家赶就来了
[29:39 - 29:41] D-O吹着
[29:41 - 29:43] 赶就来了
[29:43 - 29:45] 然后就不是吹着
[29:45 - 29:46] 他要不就
[29:46 - 29:48] 要我简直没卡
[29:48 - 29:49] 好
[29:51 - 29:52] 三部隊長就拉三個
[29:52 - 29:53] 隊一归一行
[29:55 - 29:56] 阿AB
[29:57 - 29:58] ABDSA
[29:59 - 30:00] ABDSA
[30:01 - 30:01] Drice
[30:02 - 30:02] 不是Drice
[30:02 - 30:03] 手勢
[30:04 - 30:05] 沒有理解
[30:05 - 30:06] 不是隊一归一行嗎
[30:06 - 30:07] OK
[30:07 - 30:08] 所以說我會講
[30:10 - 30:11] 首先來談劇不是時事不懂
[30:11 - 30:12] 來談劇史上
[30:12 - 30:13] 那是談劇史上
[30:13 - 30:14] 那是多
[30:14 - 30:15] 這個努力是多嗎
[30:16 - 30:16] 對
[30:16 - 30:17] 所以我還
[30:17 - 30:18] 好像是彩零
[30:18 - 30:19] 可以
[30:19 - 30:20] 他推動彩色的
[30:20 - 30:22] 所以我會發現一個東西
[30:22 - 30:24] 你是不是 我想到說你是不是
[30:24 - 30:25] 你其實看不出來的垂直
[30:25 - 30:26] 我看得出來
[30:26 - 30:28] 你敢就來的垂直的
[30:28 - 30:30] 難道是他平肥的垂直
[30:30 - 30:31] 你敢就來的垂直的
[30:31 - 30:33] 還有火冷垂的
[30:33 - 30:34] 你敢就來的垂直
[30:34 - 30:35] 還沒有來的垂直
[30:35 - 30:36] 我搞不好聽不出來
[30:36 - 30:38] 他很明顯的垂直
[30:38 - 30:40] 不是 還挺高的垂直的
[30:40 - 30:45] 然後你敢就來的垂直
[30:45 - 30:47] 火冷肩 肯定要想垂直
[30:47 - 30:48] 就是要把自己的資料
[30:48 - 30:49] 也不是雲霜
[30:49 - 30:50] 也不是雲霜的資料
[30:50 - 30:52] 好 雲霜
[30:52 - 30:54] 你主力氣之後一定要
[30:54 - 30:56] 把來遊戲高方向形成這樣
[30:56 - 30:57] OK
[30:57 - 30:58] 你服務是誰
[30:58 - 30:59] 那麼來世一搞
[30:59 - 31:01] 另一路也比較勞力
[31:01 - 31:01] 要選擇
[31:01 - 31:03] 你問科學
[31:03 - 31:04] 好 問科學的高生命性
[31:04 - 31:05] 是科
[31:05 - 31:08] 問科學而不守空間相量
[31:08 - 31:09] 要不然間夕
[31:09 - 31:12] 問科學而不守空間相量
[31:12 - 31:13] 大家都會出現一個高興
[31:13 - 31:14] 他們跟
[31:14 - 31:19] 你会发现他们根本不靠而边狗
[31:19 - 31:21] 我们还是要
[31:21 - 31:22] 所以他们根本是不靠而边狗
[31:22 - 31:24] 我们是
[31:24 - 31:24] 是
[31:24 - 31:25] 是
[31:25 - 31:25] 是
[31:25 - 31:25] 是
[31:25 - 31:25] 是
[31:25 - 31:25] 是
[31:25 - 31:25] 是
[31:25 - 31:26] 是
[31:26 - 31:26] 是
[31:26 - 31:26] 是
[31:26 - 31:27] 是
[31:27 - 31:28] 是
[31:28 - 31:28] 是
[31:28 - 31:28] 是
[31:28 - 31:28] 是
[31:28 - 31:28] 是
[31:28 - 31:28] 是
[31:28 - 31:28] 是
[31:28 - 31:28] 是
[31:28 - 31:28] 是
[31:28 - 31:28] 是
[31:28 - 31:29] 是
[31:29 - 31:29] 是
[31:29 - 31:29] 是
[31:29 - 31:30] 是
[31:30 - 31:30] 是
[31:30 - 31:30] 是
[31:30 - 31:31] 是
[31:31 - 31:31] 是
[31:31 - 31:31] 是
[31:31 - 31:32] 是
[31:32 - 31:32] 是
[31:32 - 31:33] 是
[31:33 - 31:34] 是
[31:34 - 31:35] 是
[31:35 - 31:35] 是
[31:35 - 31:35] 是
[31:35 - 31:36] 是
[31:36 - 31:36] 是
[31:36 - 31:36] 是
[31:36 - 31:36] 是
[31:36 - 31:36] 是
[31:36 - 31:37] 是
[31:37 - 31:37] 是
[31:37 - 31:37] 是
[31:37 - 31:37] 是
[31:37 - 31:38] 是
[31:38 - 31:38] 是
[31:38 - 31:39] 是
[31:39 - 31:39] 是
[31:39 - 31:40] 是
[31:40 - 31:40] 是
[31:40 - 31:40] 是
[31:40 - 31:40] 是
[31:40 - 31:40] 是
[31:40 - 31:40] 是
[31:40 - 31:40] 是
[31:40 - 31:41] 是
[31:41 - 31:42] 是
[31:42 - 31:42] 是
[31:42 - 31:43] 是
[31:43 - 31:45] 我们要把自己的理性要是我们都开始发现条件
[31:45 - 31:47] OK 疯狂的发现条件
[31:47 - 31:48] 不都吹字吗
[31:48 - 31:49] 那毛手先是不是人的吹字
[31:51 - 31:54] 对吧 跟那个点表的一
[31:54 - 31:56] 要不还不欢迎你
[31:56 - 31:57] 好 没人想什么
[31:57 - 31:59] 是不是人的吹字
[31:59 - 32:01] 对吧
[32:01 - 32:03] 好 什么
[32:03 - 32:05] 一 二 四 面子上一
[32:05 - 32:07] 一 等于三 四
[32:07 - 32:09] 三 四
[32:09 - 32:11] 等于一 二 四
[32:11 - 32:12] 好灯嘛
[32:12 - 32:14] 你看 是不是
[32:14 - 32:16] 那是被个华人是非常准确的
[32:16 - 32:17] 没有地方
[32:18 - 32:19] 然后那个问题
[32:20 - 32:23] 那EF跟我的ASS的关系
[32:24 - 32:26] 是指动把一平行那个事情
[32:26 - 32:27] OK
[32:27 - 32:29] 都是像这个那个
[32:29 - 32:30] 灯
[32:30 - 32:31] 灯高显
[32:31 - 32:32] 对吧
[32:32 - 32:33] 灯
[32:33 - 32:35] 灯比
[32:36 - 32:36] 灯分显
[32:37 - 32:38] 灯分比
[32:39 - 32:40] 那你
[32:40 - 32:42] DF也
[32:42 - 32:44] EF反正
[32:44 - 32:47] 打地也
[32:47 - 32:50] 拉西都去市場的部別
[32:50 - 32:54] 反正問題啊 其實是全都在那邊
[32:54 - 32:56] 延上全都在那邊
[32:56 - 32:59] 除重我們江北沙仔 除重我們是不是說的是
[32:59 - 33:01] 那個新片反正對不對
[33:01 - 33:04] 好 除重的反正 葉招丁那邊
[33:04 - 33:06] 那是不是說到來 這些比辣味好
[33:06 - 33:09] 是不是雷狗 這是雷狗
[33:09 - 33:12] 對吧
[33:12 - 33:15] 然后来搞四星的这个来搞
[33:15 - 33:18] AES 这个来搞
[33:18 - 33:19] 第一
[33:19 - 33:22] 你接过
[33:22 - 33:23] 还有国伤分呢
[33:23 - 33:23] 同意
[33:23 - 33:24] HD 也是平台的
[33:24 - 33:25] 预议
[33:25 - 33:26] HD 评
[33:26 - 33:28] 还有国度伤分
[33:28 - 33:30] 看你国度有些灯
[33:30 - 33:32] 没有理解
[33:32 - 33:33] 好 来
[33:33 - 33:35] 我们来看来一个
[33:35 - 33:36] 第一文
[33:36 - 33:37] 正面
[33:37 - 33:39] SH 出一字
[33:39 - 33:41] HD
[33:41 - 33:44] HD 是不是来搞
[33:44 - 33:45] 对吧
[33:45 - 33:47] 我们要像ASHVG
[33:47 - 33:49] 啊 肯定都是我们的老
[33:49 - 33:51] 我们说 诊明起来就知道了
[33:52 - 33:54] 诊明起来 面评识 对不对
[33:54 - 33:56] 但是一支预告 非常
[33:56 - 33:58] 不要做你评识在那
[33:58 - 34:00] 对 规矩
[34:00 - 34:03] 是不是我的 诊明起来就很好了
[34:03 - 34:04] 对吧
[34:04 - 34:06] 哎 老老师 要像诊明的
[34:06 - 34:08] 诊明的话还需要的
[34:08 - 34:09] 第二 对不对
[34:09 - 34:11] 没法想 找不在了
[34:11 - 34:16] 诊明 诊明 诊谣不都是
[34:18 - 34:19] 在我面子上
[34:22 - 34:23] 很厲害
[34:23 - 34:24] 我早就說
[34:24 - 34:27] 我早就能讓你出門
[34:27 - 34:29] 被分子被插不到
[34:29 - 34:31] 你當飯糟是
[34:31 - 34:32] 第一勾吹一隻的
[34:32 - 34:33] 第一面糟
[34:34 - 34:36] 那你不是全列車的車
[34:36 - 34:37] 像第一
[34:37 - 34:38] 第一寫
[34:38 - 34:40] 第一名寫誰
[34:40 - 34:41] 那第二名不是誰
[34:41 - 34:42] 現在算的呢
[34:43 - 34:45] 我們叫做不好子民
[34:45 - 34:46] 直上
[34:46 - 34:47] 那些不好
[34:47 - 34:49] 不好子民
[34:49 - 34:50] OK
[34:50 - 34:52] 那你来吧
[34:52 - 34:53] 看到
[34:53 - 34:55] 用拉风发锯
[34:55 - 34:57] 拉风发怎么没有用去最简单
[34:57 - 34:58] 看到前
[34:58 - 35:00] 口语怎么意思
[35:00 - 35:02] 绝对理行理事上的意思
[35:02 - 35:05] 你刚刚是不是知道要缘弹
[35:05 - 35:06] 知道要来的
[35:06 - 35:07] 是把缘弹换过去了
[35:07 - 35:09] 你还要一个实行事
[35:09 - 35:10] 那边
[35:10 - 35:12] 都是要把狗堆换过去
[35:12 - 35:17] 还讲话
[35:17 - 35:20] 不是有群人登山过去吗
[35:20 - 35:22] 要把狗堆换过去
[35:22 - 35:25] 没有必要 没有必要上次能够来搞躲
[35:25 - 35:26] 没有必要上次能够来搞躲
[35:26 - 35:29] 刀割过在两个球都不能这么确定相对吗
[35:29 - 35:32] 没有必要上次能够打得搞躲 好吧
[35:32 - 35:33] 好
[35:33 - 35:34] 黑箭大
[35:35 - 35:36] 老师
[35:36 - 35:38] 是不是
[35:38 - 35:40] SF 星星
[35:40 - 35:43] EF 来说我们你指力的跳准
[35:43 - 35:44] 当然反映出来的
[35:44 - 35:45] 对不对
[35:45 - 35:46] 老五年
[35:46 - 35:51] EF 该不该确实我的HD
[35:51 - 35:54] YF 或者是JSD
[35:54 - 35:56] 你做垂直做垂直
[35:56 - 35:58] 改一下
[35:58 - 36:00] 我要再
[36:00 - 36:02] 我反正都好
[36:02 - 36:08] YF 也依舊垂直HD
[36:08 - 36:10] 還是你也認垂直直
[36:10 - 36:14] 大家說那麼準確
[36:14 - 36:18] 反正就說不夠那麼反正
[36:18 - 36:20] YF 或者是JSD
[36:20 - 36:22] OK
[36:22 - 36:23] 你跟我看
[36:23 - 36:25] 那些人,谁先吹自在,是不是?
[36:25 - 36:27] 我反正,英文像
[36:27 - 36:29] 英文像吹自
[36:29 - 36:32] 因为人家是那个曲子的嘛
[36:32 - 36:33] 对吧
[36:33 - 36:34] 或者说我要去反正
[36:34 - 36:35] 人家是随意传
[36:36 - 36:39] 所以我们都知道还是随之他了
[36:39 - 36:40] 看到了啊
[36:40 - 36:41] 所以说
[36:43 - 36:46] 那个GF 本身都是D
[36:46 - 36:51] EF 后第第一次也F 后第EF的教学
[36:51 - 36:52] 我也要确实他
[36:52 - 36:53] 连人确实他
[36:53 - 36:55] 他不信感一点吗
[36:55 - 36:56] 对不对
[36:56 - 36:57] 所以说
[36:57 - 37:00] 是通過繁殖之類的對押式的用外
[37:03 - 37:11] HD跟顏色繁殖
[37:11 - 37:21] 所以HD的協議是顏色繁殖
[37:21 - 37:26] H第一批是UF了,是否是兩個都直接的整個完成
[37:26 - 37:30] UF平行要在這個船
[37:30 - 37:32] Pia,我們過程靠近這個船
[37:32 - 37:35] 好,你第二話,你要想整命的高
[37:35 - 37:39] 是不是也會用前面吹著前線吹著
[37:39 - 37:41] 對不對
[37:41 - 37:46] 而DWN,我完全能做完延伍不是一切做船
[37:46 - 37:50] 可以女女的事件,可以接到那些
[37:50 - 37:52] 我要是問過這可能不接到
[37:52 - 37:54] 有人嗎?
[37:54 - 37:56] 我們可以出來,我也好了
[37:56 - 37:58] 欸,你什麼?
[37:58 - 38:00] 那個都什麼?
[38:00 - 38:03] 欸,你什麼?
[38:03 - 38:06] 欸,你什麼?
[38:06 - 38:09] 欸,你什麼?
[38:09 - 38:11] 欸,你什麼?
[38:11 - 38:13] 欸,你什麼?
[38:13 - 38:14] 看不看
[38:14 - 38:14] 看不看
[38:14 - 38:15] 我们把该盖盖盖很比较好
[38:16 - 38:17] 哦第一水
[38:17 - 38:18] 而被刚好耳
[38:19 - 38:21] 最后一个我们它在
[38:22 - 38:23] 第一
[38:23 - 38:24] 诶
[38:24 - 38:24] 诶
[38:24 - 38:24] 诶
[38:24 - 38:24] 它什么
[38:24 - 38:25] 这算算
[38:25 - 38:25] 第一面
[38:25 - 38:26] 诶
[38:26 - 38:27] 第一面
[38:27 - 38:27] 第一面
[38:27 - 38:27] 诶
[38:27 - 38:28] 诶
[38:28 - 38:28] 诶
[38:28 - 38:28] 诶
[38:28 - 38:29] 诶
[38:29 - 38:29] 诶
[38:29 - 38:29] 诶
[38:29 - 38:30] 诶
[38:30 - 38:30] 诶
[38:30 - 38:30] 诶
[38:30 - 38:30] 诶
[38:30 - 38:31] 诶
[38:31 - 38:31] 诶
[38:31 - 38:32] 诶
[38:32 - 38:32] 诶
[38:32 - 38:32] 诶
[38:32 - 38:32] 诶
[38:32 - 38:33] 诶
[38:33 - 38:33] 诶
[38:33 - 38:33] 诶
[38:33 - 38:33] 诶
[38:33 - 38:34] 诶
[38:34 - 38:34] 诶
[38:34 - 38:35] 诶
[38:35 - 38:36] 诶
[38:36 - 38:36] 诶
[38:36 - 38:37] 诶
[38:37 - 38:37] 诶
[38:37 - 38:38] 诶
[38:38 - 38:39] 诶
[38:39 - 38:39] 诶
[38:39 - 38:39] 诶
[38:39 - 38:40] 诶
[38:40 - 38:40] 诶
[38:40 - 38:45] 我们将来的主要的体力都是离体而一级
[38:45 - 38:47] 我们的型高靠
[38:47 - 38:50] 而025点曲列的高靠体
[38:50 - 38:51] 离了一个第四期体
[38:51 - 38:54] 曲列我们从进靠的高靠体
[38:54 - 38:56] 第四期体
[38:56 - 38:56] OK
[38:56 - 38:58] 半样的高度我们是三个
[38:58 - 38:59] 好 休息四个月钟
[38:59 - 39:00] 离了
