来源文件：/Users/xiaodi/Desktop/xingrun.web/review_plan_templates/pdf_output/万象三路 9.m4a
识别语言：zh
语言概率：1

[00:00 - 00:02] 好 随头
[00:02 - 00:05] 我们要用那个挑剪
[27:01 - 27:03] 只能往往上上上
[27:03 - 27:03] 就打人了
[27:03 - 27:04] 那個裂氣
[27:04 - 27:08] 但是我不會
[27:08 - 27:10] 不回
[27:10 - 27:11] 我不能接我
[27:11 - 27:12] 家里
[27:12 - 27:14] 因為我是離口山
[27:14 - 27:17] 離口山跟街
[27:17 - 27:20] 因為你等會是一個離口山
[27:20 - 27:23] 你住了一個前面
[27:23 - 27:25] 除非那種黑近
[27:25 - 27:26] 有一個植的植的植的
[27:26 - 27:27] 都是前面舉例
[27:27 - 27:28] 除非是黑肉子
[27:28 - 27:30] 有時候你一個還不
[27:30 - 27:31] 被我問出來叫黑肉子
[27:31 - 27:34] 你那之前舉例不是還跟他同樣走街
[27:34 - 27:36] 點到屁股
[27:36 - 27:36] 你需要看看
[27:36 - 27:39] 多少多少
[27:39 - 27:40] 登機機吧
[27:41 - 27:42] 一
[27:43 - 27:44] 不要這樣
[27:45 - 27:47] 不是你用機機去轉卡
[27:47 - 27:48] 沒有
[27:48 - 27:48] 你
[27:50 - 27:50] 你要點
[27:50 - 27:52] 大家要是沒你舉例
[27:52 - 27:53] 對不對
[27:53 - 27:54] 把我登
[27:54 - 27:55] 登
[27:55 - 27:55] 登
[27:55 - 27:57] 登給我朋友人去
[27:57 - 27:58] 是不是吧
[27:58 - 28:00] 我學還提起了
[28:00 - 28:00] 我現在第一面去
[28:00 - 28:01] 我搞了全了
[28:06 - 28:06] 我沒試過
[28:06 - 28:07] 對不對嘛
[28:07 - 28:08] 我没试过来的
[28:08 - 28:09] 我今天还要给我起来一个个
[28:09 - 28:11] 没有完一切起来
[28:11 - 28:12] 我还要去那个结合
[28:12 - 28:14] 也别控制
[28:14 - 28:15] 就专串
[28:15 - 28:15] 当面
[28:15 - 28:16] 但是我还搞训练试
[28:16 - 28:19] 如果是打贴
[28:19 - 28:21] 你第二个
[28:22 - 28:23] 都是七贴十八贴
[28:23 - 28:25] 你第二个
[28:25 - 28:28] 然后是不是可以用强烂的方法就算
[28:28 - 28:29] 也是给你们多个方法
[28:29 - 28:30] 你们接下来
[28:30 - 28:31] 但是多个方法
[28:31 - 28:33] 不是唯一方法
[28:33 - 28:34] OK
[28:34 - 28:35] 好
[28:35 - 28:38] 你觉得你们说的老师有没有知望法的有没有知望法
[28:38 - 28:40] 有没有知望法
[28:40 - 28:41] 有没有知望法
[28:41 - 28:42] 有没有知望法
[28:42 - 28:43] 有没有知望法
[28:43 - 28:45] 有没有知望法
[28:45 - 28:49] 你说哪个假Fa会来个面积加高
[28:49 - 28:50] 是不是FaP
[28:50 - 28:52] 但是无趣要我告诉你们那两个铁
[28:52 - 28:54] 高炮之所以是手分铁
[28:54 - 28:56] 另一个营兔在于六个发现一个点
[28:56 - 28:58] 另外一种每一次
[28:58 - 29:00] 是不是在表谅过好
[29:00 - 29:02] 六个发现过坦国肯定不想得得
[29:02 - 29:02] 对不对
[29:03 - 29:04] 要认为坦吧
[29:04 - 29:05] 所以都是急算体了
[29:06 - 29:07] 多了啊
[29:07 - 29:08] 对 太晚了
[29:08 - 29:09] 多了啊
[29:09 - 29:10] 来 都急算体了
[29:10 - 29:11] 哎 我算完是CT
[29:11 - 29:13] 这个18T有给我来个引用器
[29:14 - 29:15] 来 就像佛儿呢
[29:15 - 29:17] 我真像佛儿
[29:17 - 29:17] 本来
[29:18 - 29:20] 算完是CT的甚至不清了
[29:20 - 29:21] 哎
[29:21 - 29:21] 他是说
[29:21 - 29:23] 甚至说两个情况是
[29:23 - 29:24] 没跟着不费那情况
[29:25 - 29:27] 都是离在主要是CT多好
[29:28 - 29:30] 你主要会预留14分钟的时间去
[29:30 - 29:31] 住18分或19
[29:31 - 29:32] 只有48死死的那種
[29:32 - 29:34] 你會發現你搞到死線
[29:34 - 29:36] 你住48天才會混
[29:37 - 29:38] 你做一本要混
[29:38 - 29:39] 就是死線
[29:39 - 29:40] 死線
[29:40 - 29:42] 死線要怎麼混
[29:42 - 29:43] 死線住死就停
[29:43 - 29:44] 所以你也搞了
[29:44 - 29:46] 我們講回這個點
[29:46 - 29:48] 一個點都是
[29:48 - 29:49] 你第一
[29:49 - 29:51] 哪一系你要勉強
[29:51 - 29:53] 那是你們
[29:53 - 29:54] 整個搞一下
[29:54 - 29:55] 踩到導而下
[29:55 - 29:56] 踩到時間
[29:56 - 29:58] 修點你第二個原因
[29:58 - 29:59] 我們是這個修弦
[29:59 - 30:00] 修點你原因
[30:00 - 30:00] 最重要的
[30:30 - 30:32] 打起超半的
[30:32 - 30:33] 我们现在绝对会有
[30:33 - 30:36] 来我们一期来
[30:38 - 30:40] 高科超浪漏的玩意
[30:40 - 30:42] 八卓也听到
[30:42 - 30:45] 我们两个星期左右也都是每天一脑梯
[30:45 - 30:47] 我四个高冲凌
[30:47 - 30:48] 一天人才是
[30:48 - 30:49] 冲凌有一点
[30:49 - 30:50] 一天啊
[30:50 - 30:52] 欣负我没信过我什么
[30:52 - 30:53] 欣负我没几个
[30:53 - 30:54] 一几十
[30:54 - 30:57] 一几十
[30:57 - 30:58] 一几十
[30:58 - 30:59] 一几十
[30:59 - 31:00] 一几十
[31:00 - 31:01] 我再看看
[31:02 - 31:04] 没用到,不是一个比例
[31:07 - 31:09] 哎听说过
[31:10 - 31:13] 哎,它里边加过不斗个是FAB吗
[31:14 - 31:16] 好,来,看到了,等下
[31:17 - 31:19] 这个现在,这个,这个
[31:19 - 31:21] AB模样吗
[31:22 - 31:24] 好,来,看到我们关系里点
[31:24 - 31:28] 点这个就是我尘将终于专制的送给搞合体
[31:28 - 31:29] 我去哪里?
[31:29 - 31:30] 我去哪里?
[31:30 - 31:31] 我去哪里?
[31:31 - 31:32] 我去哪里?
[31:32 - 31:33] 我去哪里?
[31:33 - 31:34] 你不是在前摩家里?
[31:34 - 31:35] 你不是在前摩家里?
[31:35 - 31:37] 你不是在前摩家里?
[31:37 - 31:38] 我不是在前摩家里?
[31:38 - 31:39] 我不是在前摩家里?
[31:39 - 31:40] 我不是在前摩家里?
[31:40 - 31:41] 我不是在前摩家里?
[31:41 - 31:42] 我不是在前摩家里?
[31:42 - 31:43] 我不是在前摩家里?
[31:43 - 31:44] 我不是在前摩家里?
[31:44 - 31:45] 我不是在前摩家里?
[31:45 - 31:46] 我不是在前摩家里?
[31:46 - 31:47] 我不是在前摩家里?
[31:47 - 31:48] 我不是在前摩家里?
[31:48 - 31:49] 我不是在前摩家里?
[31:49 - 31:50] 我不是在前摩家里?
[31:50 - 31:51] 我不是在前摩家里?
[31:51 - 31:56] 我做一几点多都需要还是要4个
[31:56 - 31:57] SB
[31:57 - 31:59] SB
[31:59 - 32:03] 我水平为还是水平的
[32:03 - 32:07] DAB
[32:07 - 32:08] 定于90度
[32:08 - 32:10] 不太差一撒
[32:10 - 32:12] AB是谁能给他一个水
[32:12 - 32:15] SB为SB总点
[32:15 - 32:16] 然后我水平
[32:16 - 32:17] 我水平给不出来的情况
[32:17 - 32:18] 我水平是个土的
[32:18 - 32:19] 我水平是个土的
[32:19 - 32:20] 没有种话表话的
[32:20 - 32:21] 可以,是高科学院的
[32:21 - 32:24] 还可以,还可以给我别人出吧,你
[32:24 - 32:34] 好,EFOR出评讯的A.T
[32:34 - 32:38] FB登语三倍的A.T
[32:38 - 32:48] 这个是E,这个是三倍的
[32:48 - 32:49] 对不对,对不对
[32:49 - 32:54] C.T登语二倍的A.T
[32:54 - 32:56] 这个是E
[32:56 - 33:26] 那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那就是,那
[33:26 - 33:27] 来看啦
[33:27 - 33:29] 你这是不要放哈
[33:29 - 33:31] 他说的他
[33:31 - 33:32] 啊哈哈可以写我的了
[33:32 - 33:33] 我放好了
[33:33 - 33:34] 我去玩
[33:34 - 33:36] 这不是于是他说
[33:36 - 33:39] 一一F第一片一个面子都是一一F第一
[33:39 - 33:40] 哎这个面
[33:40 - 33:41] 哎他写完了
[33:41 - 33:42] 我我我没读啊
[33:42 - 33:43] 哈
[33:43 - 33:44] 哈哈
[33:44 - 33:46] 于是面里面
[33:46 - 33:48] 是不是你加工少多
[33:48 - 33:50] 如是多
[33:50 - 33:51] 来 去玩
[33:51 - 33:54] 面面加工
[33:54 - 33:56] 要让他炸
[33:56 - 33:57] 那个反野也没跳准
[33:57 - 33:59] 因为刚刚我们都是一个跳准反野
[33:59 - 34:00] 你跳准反野一下是不是
[34:00 - 34:02] 因为你跳了那个反野跳准
[34:02 - 34:03] 还就觉得
[34:04 - 34:06] 就觉得那个反野
[34:06 - 34:06] 好是
[34:06 - 34:09] 缅缅加过来的跳准那个反野
[34:09 - 34:10] 发一下那样
[34:12 - 34:13] 拉个鞋
[34:13 - 34:14] 拉个球
[34:14 - 34:16] 那是球他用发生的鞋
[34:16 - 34:17] 那个反野还想去说
[34:17 - 34:18] 因为说我原谅是不是
[34:18 - 34:19] 对啊
[34:19 - 34:21] 你能不能用发生那种反野
[34:21 - 34:22] 所以你才能能显得
[34:22 - 34:23] 不是才能能显得
[34:23 - 34:24] 是能够
[34:24 - 34:27] 短了一趟是不是出一支鱼啊在
[34:27 - 34:29] 教宣你
[34:29 - 34:32] 没想到宣示出一支鱼教宣
[34:32 - 34:34] 没想到宣示出一支鱼教宣
[34:34 - 34:36] 你看看你是不是
[34:36 - 34:37] 你一接的是不是都是那个广
[34:37 - 34:39] 那边叫广
[34:39 - 34:40] 那你就叫
[34:40 - 34:42] 你一人都不一接的
[34:42 - 34:44] 所以越发行一个的事情
[34:44 - 34:45] 然后是
[34:45 - 34:47] 然后我们先不黄
[34:47 - 35:17] 一个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个个
[35:17 - 35:19] 那跟剛剛那提起
[35:19 - 35:20] 他反正那種老闻的
[35:20 - 35:50] 哎呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀呀
[35:50 - 35:51] 沒看出來
[35:51 - 35:53] 那本書前面完全沒看過來
[35:53 - 35:54] 沒關係 因為有些人沒
[35:54 - 35:55] 你去我乾脆不強
[35:55 - 35:58] 可是英文的確有兩個多數數是不是
[35:58 - 36:00] 你確有兩個數數多的
[36:00 - 36:01] 對 平常
[36:01 - 36:03] 平常都是一一
[36:03 - 36:05] 老師 講的是方向
[36:05 - 36:06] 你怎麼不平
[36:06 - 36:08] 那你個人到別人前面都出來
[36:08 - 36:10] 我到那邊看你
[36:10 - 36:12] 肯定這樣是一份都玩
[36:12 - 36:14] 有時候經典力的是
[36:14 - 36:15] 個人在你什麼半天
[36:15 - 36:17] 老師已經講到後面講了
[36:17 - 36:18] 不知道是講到二十四了
[36:18 - 36:19] 不是我呀
[36:19 - 36:20] 是
[36:20 - 36:21] 哎呀
[36:21 - 36:22] 哎呀
[36:22 - 36:23] 哎呀
[36:23 - 36:24] 是
[36:24 - 36:24] 是
[36:24 - 36:25] 提醒
[36:25 - 36:26] 對啊
[36:26 - 36:27] 對啊
[36:27 - 36:28] 他說
[36:28 - 36:28] 是
[36:28 - 36:29] 三
[36:29 - 36:30] 哎呀
[36:30 - 36:30] 重點
[36:30 - 36:31] 哎呀
[36:31 - 36:32] 你做出就下
[36:32 - 36:32] 哎呀
[36:32 - 36:33] 哎呀
[36:33 - 36:34] 哎呀
[36:34 - 36:35] 哎呀
[36:35 - 36:36] 哎呀
[36:36 - 36:37] 哎呀
[36:37 - 36:38] 哎呀
[36:38 - 36:39] 哎呀
[36:39 - 36:40] 哎呀
[36:40 - 36:41] 哎呀
[36:41 - 36:42] 哎呀
[36:42 - 36:43] 哎呀
[36:43 - 36:44] 哎呀
[36:44 - 36:45] 哎呀
[36:45 - 36:46] 哎呀
[36:46 - 36:47] 哎呀
[36:47 - 36:49] 不是音声
[36:51 - 36:52] 我都不可能的
[36:52 - 36:53] 连声都不说了
[36:53 - 36:54] 我都不说了
[36:54 - 36:56] 你跟我去等女兒去年
[36:56 - 36:57] 誰先等我回家
[36:57 - 36:58] 哈
[36:58 - 36:59] 啊
[36:59 - 37:00] 哎呀
[37:00 - 37:01] 別
[37:01 - 37:02] 誰是你
[37:02 - 37:04] 誰是你
[37:04 - 37:06] 誰是你
[37:06 - 37:07] 誰是你
[37:07 - 37:08] 別讓她去年
[37:08 - 37:10] 你本來都會被你
[37:10 - 37:13] 哎呀
[37:13 - 37:14] 喂
[37:14 - 37:14] 四哥
[37:14 - 37:16] 你沒陪我去年四哥
[37:16 - 37:17] 你只管你到錢就去年不去
[37:17 - 37:18] 你去年不去
[37:18 - 37:20] 你不是喜歡到錢
[37:20 - 37:21] 我都只有等你陪你去年了
[37:21 - 37:26] 給你 money
[37:26 - 37:28] 两个人都觉得死干了
[37:30 - 37:31] 还是有点残与的
[37:31 - 37:32] 拉个是这个问题
[37:32 - 37:33] 切这个
[37:34 - 37:35] AB
[37:35 - 37:38] 切这个问题
[37:38 - 37:41] 和和和那个
[37:41 - 37:42] 2012
[37:42 - 37:43] 缺点是谁
[37:43 - 37:46] 他让你用他卡的时间
[37:46 - 37:48] 但是其实你按照我给你教练方法
[37:48 - 37:50] 反正反方反应 拉上很多两方反应
[37:50 - 37:52] 只要确读的话在
[37:52 - 37:54] 你是不是心
[37:54 - 37:54] 对不对
[37:54 - 37:56] 拉我那方法
[37:56 - 37:57] 你一定在那
[37:57 - 37:57] 你哪
[37:57 - 37:59] 也不都吹不出来啊
[37:59 - 38:01] 对不对
[38:01 - 38:02] 也很重出现
[38:02 - 38:03] 有一个角点的
[38:03 - 38:04] 礼物权的伤害
[38:04 - 38:04] 伤害了
[38:04 - 38:05] 伤害了
[38:05 - 38:06] 也行吗
[38:06 - 38:08] 你有什么事
[38:08 - 38:09] 你
[38:09 - 38:10] 小小的
[38:10 - 38:11] 整他那个
[38:11 - 38:12] 等比例要整
[38:12 - 38:14] 小小的
[38:14 - 38:15] 你比
[38:15 - 38:16] 心
[38:16 - 38:17] 小伤生过去
[38:17 - 38:17] 你自己做出来
[38:17 - 38:18] 心灭
[38:18 - 38:19] 哪边后面的地面
[38:19 - 38:27] 再会简单的
[38:27 - 38:33] 很简单的
[38:33 - 38:34] 不要伤父母
[38:34 - 39:09] 另外一发是来自行无限,我给你当他,那一发是行信使用的,第二刀,极光一刀,卸也卸也卸不到,结果一刀,极光一刀卸也卸不到,第三刀,我们所谓最隐藏的那当时拿在,练绵平行的,通过在,为了为求找,通过练绵平行,我怎么出来来练绵平行的,
[39:09 - 39:10] 然后来个面上的一个选择
[39:10 - 39:11] 绝对拼去地面哪
[39:12 - 39:14] 打明明明明明明是哪个载
[39:14 - 39:14] 没有没有
[39:14 - 39:15] 不拼
[39:15 - 39:17] 不拼的明明
[39:18 - 39:20] 不拼的明明明是哪个载
[39:20 - 39:21] 对呀
[39:21 - 39:23] 两个小屋家自写
[39:23 - 39:24] 分别拼心
[39:24 - 39:25] 是不是都高零
[39:27 - 39:29] 我得了一人机关一道情
[39:30 - 39:32] 所以我出来来看
[39:32 - 39:32] 都高零嘛
[39:32 - 39:35] 你只要按照我跟你们讲的方法
[39:35 - 39:35] 拉不住就知道
[39:35 - 39:37] 明明是对方方法
[39:38 - 39:39] 明明是明明是找不到
[39:39 - 39:40] 找到机关的东西
[39:40 - 39:41] 是不是
[39:41 - 39:44] 另外一個是不大當版的,我會就找,各位
[39:45 - 39:46] 看得好看啊
[39:46 - 39:47] OK
[39:47 - 39:50] 所以搞個課的時候,如果老不走,用文字不會當機
[39:50 - 39:51] 運動是三個方法來配合
[39:51 - 39:53] 來,我只要是吃魚
[39:54 - 39:56] 大家,我要只是吃魚
[39:56 - 40:01] 我很久,我好像是很久了
[40:01 - 40:02] 我好像是很久了
[40:02 - 40:03] 我好像是很久了
[40:03 - 40:04] 我好像是很久了
[40:04 - 40:05] 我好像是很久了
[40:05 - 40:06] 我好像是很久了
[40:06 - 40:07] 我好像是很久了
[40:07 - 40:08] 我好像是很久了
[40:08 - 40:09] 我好像是很久了
[40:09 - 40:10] 我好像是很久了
[40:10 - 40:11] 我好像是很久了
[40:11 - 40:12] 我好像是很久了
[40:12 - 40:13] 我好像是很久了
[40:13 - 40:14] 我好像是很久了
[40:14 - 40:15] 我好像是很久了
[40:15 - 40:16] 我好像是很久了
[40:16 - 40:17] 我好像是很久了
[40:17 - 40:18] 我好像是很久了
[40:18 - 40:19] 我好像是很久了
[40:19 - 40:20] 我好像是很久了
[40:20 - 40:21] 我好像是很久了
[40:21 - 40:22] 我好像是很久了
[40:22 - 40:23] 我好像是很久了
[40:23 - 40:24] 我好像是很久了
[40:24 - 40:25] 我好像是很久了
[40:25 - 40:27] 你主角高理平呀
[40:27 - 40:29] 你主角高理平呀
[40:29 - 40:31] 你主角高理平呀
[40:31 - 40:33] 你主角高理平呀
[40:33 - 40:35] 你主角高理平呀
[40:35 - 40:37] 你主角高理平呀
[40:37 - 40:39] 你主角高理平呀
[40:39 - 40:41] 你主角高理平呀
[40:41 - 40:43] 你主角高理平呀
[40:43 - 40:45] 你主角高理平呀
[40:45 - 40:47] 你主角高理平呀
[40:47 - 40:49] 你主角高理平呀
[40:49 - 40:51] 你主角高理平呀
[40:51 - 40:53] 你主角高理平呀
[40:53 - 40:54] 你主角高理平呀
[40:54 - 40:55] 哈哈哈哈
[40:55 - 40:56] 少
[40:57 - 40:58] 少花了阿少多欸
[40:59 - 41:01] 少花有血
[41:01 - 41:03] 哈 真是人家
[41:03 - 41:04] 我算有血
[41:04 - 41:05] 你一生之間不行
[41:05 - 41:07] 算有血不收點了
[41:08 - 41:08] 哈 看他
[41:11 - 41:13] 不是不敢找到第一個
[41:13 - 41:14] 不懂得
[41:15 - 41:15] 懂得
[41:16 - 41:18] 不是說第一個不是說
[41:18 - 41:18] 問你開始看
[41:19 - 41:20] 那我覺得可能是我還是很表
[41:20 - 41:22] 是不是跟我人家表到兩個人
[41:22 - 41:23] 我沒翻譯到
[41:23 - 41:24] 我说的表一道
[41:24 - 41:26] 我说你真的表一个简直吧
[41:26 - 41:27] 我没发现我是表一道
[41:27 - 41:28] 因为当时很小的人
[41:28 - 41:30] 当时人常常是差
[41:31 - 41:33] 现在有过去办人差了
[41:33 - 41:34] 可知道的啊
[41:34 - 41:34] 所以其实
[41:34 - 41:36] 还是主题使劲问题
[41:36 - 41:39] 你没读一条件
[41:39 - 41:40] 你看你狗也好
[41:41 - 41:43] 你发现你现在也好
[41:43 - 41:44] 你狗也好
[41:44 - 41:45] 你现在也好
[41:45 - 41:46] 你狼狗都不会留条件
[41:47 - 41:48] 这种问题不够
[41:48 - 41:49] 留条件呢
[41:49 - 41:50] 好
[41:50 - 41:52] 爱剪还有狗体
[41:52 - 41:52] 爱剪
[41:52 - 41:53] 你以為我出了嗎?
[41:53 - 41:54] 出了嗎?
[41:54 - 41:54] 就沒GoogleTik?
[41:54 - 41:55] 他好快啦出了
[41:55 - 41:55] 好快啦
[41:55 - 41:57] 還有三分鐘下頭了
[41:57 - 41:58] 三分鐘就...
[41:58 - 41:59] 我把血給你撿去了
[41:59 - 42:00] 沒有他們帶人就算完了
[42:00 - 42:02] 人家是還要爽
[42:03 - 42:03] 好
[42:03 - 42:05] 那麼第二我這邊發現一個
[42:05 - 42:06] 是先拿流血刺你只夠問題
[42:07 - 42:08] 第一點喔
[42:09 - 42:10] 對啦
[42:11 - 42:12] 等等...
[42:13 - 42:14] 等等
[42:14 - 42:15] 對吧
[42:16 - 42:16] 等等
[42:16 - 42:17] 那我怎麼已經開始見了
[42:17 - 42:18] 靠你
[42:19 - 42:20] 欸?
[42:20 - 42:21] 六老師
[42:21 - 42:22] 然後我第一天那麼窮啊
[42:22 - 42:23] 嗨呀
[42:23 - 42:24] 第一点那个球
[42:24 - 42:26] 第一次就那个球啊
[42:26 - 42:28] 不是说对的
[42:30 - 42:31] 对不对
[42:31 - 42:33] 而且每个是能够反上来
[42:33 - 42:34] 是哪个免得
[42:34 - 42:35] 不是在一个第一面上
[42:35 - 42:35] 对啊
[42:35 - 42:36] 那天接着啊
[42:36 - 42:37] 说一个人
[42:38 - 42:39] 哪个是一节奏的
[42:40 - 42:41] 二分之一也差不多
[42:41 - 42:42] 啊你谁啊
[42:42 - 42:42] 二分之一
[42:42 - 42:43] 二分之一
[42:43 - 42:44] 高点
[42:46 - 42:46] 看到我的
[42:46 - 42:47] 他一个别人唱的
[42:47 - 42:48] 对
[42:48 - 42:48] 对
[42:48 - 42:49] 我都还全部在试试
[42:49 - 42:50] OK
[42:51 - 42:51] 好
[42:51 - 42:52] 再加点吧
[42:52 - 42:53] 我要打一托
[42:53 - 42:54] 好数
[42:55 - 42:59] 我一人都不吃飯,我把剪鞋給冰江浪
[42:59 - 43:01] 多連連剪鞋是不最近,在一人都吹著
[43:01 - 43:02] 對啊
[43:02 - 43:04] 他都會走上去,對不對
[43:04 - 43:06] 有一些要彈點
[43:06 - 43:08] 彈點還敢打架
[43:08 - 43:10] 還有彈行,有一些
[43:10 - 43:13] 當時我把他跳過去,有一些要彈行
[43:13 - 43:15] 他會很高手吹
[43:15 - 43:17] 時尚可以
[43:17 - 43:19] 我看他都把低天都試下在
[43:19 - 43:21] 他把低天都
[43:21 - 43:23] 都試著把低天都走上來,對吧
[43:23 - 43:23] 是不是?
[43:23 - 43:24] 你也不讨论
[43:25 - 43:26] 可以
[43:26 - 43:27] 但是我觉得有一场呢
[43:28 - 43:29] 有一个这样子
[43:29 - 43:30] FD
[43:30 - 43:31] 我第一次都原来是
[43:31 - 43:32] 都在认识
[43:33 - 43:34] 我觉得
[43:34 - 43:34] 我给你提到没根底
[43:34 - 43:35] 没有关系
[43:37 - 43:37] 你一批
[43:37 - 43:38] 你一批
[43:38 - 43:39] 你一批
[43:39 - 43:40] 你一批不是
[43:42 - 43:43] 我说FD
[43:44 - 43:44] 我给
[43:44 - 43:46] FD一个分子多少钱
[43:48 - 43:49] 你没看
[43:49 - 43:50] 你没看
[43:50 - 43:51] 分子的时候
[43:51 - 43:52] 你没看
[43:52 - 43:52] 我诚
[43:52 - 43:53] 你自己的手機
[43:53 - 43:54] 我自己的手機
[43:54 - 43:55] 每次都在
[43:55 - 43:57] 你自己的手機都在
[43:57 - 43:58] 你自己的手機都在
[43:58 - 43:59] 你自己的手機都在
[43:59 - 44:01] 你自己的手機都在
[44:01 - 44:02] 你自己的手機都在
[44:02 - 44:04] 你自己的手機都在
[44:04 - 44:05] 你自己的手機都在
[44:05 - 44:06] 你自己的手機都在
[44:06 - 44:07] 你自己的手機都在
[44:07 - 44:08] 你自己的手機都在
[44:08 - 44:09] 你自己的手機都在
[44:09 - 44:10] 你自己的手機都在
[44:10 - 44:11] 你自己的手機都在
[44:11 - 44:12] 你自己的手機都在
[44:12 - 44:13] 你自己的手機都在
[44:13 - 44:14] 你自己的手機都在
[44:14 - 44:15] 你自己的手機都在
[44:15 - 44:16] 你自己的手機都在
[44:16 - 44:17] 你自己的手機都在
[44:17 - 44:18] 你自己的手機都在
[44:19 - 44:20] 你自己的手機都在
[44:20 - 44:21] 你自己的手機都在
[44:21 - 44:22] 彩打
[44:22 - 44:23] 彩打
[44:23 - 44:24] 那管谁不稍微啊
[44:24 - 44:26] 那你都可以
[44:26 - 44:27] 那你接着打人家
[44:27 - 44:28] 啊
[44:28 - 44:30] 属中跟着下以前我都算过了
[44:30 - 44:32] 还怕还怕得跟着上
