# 14.3、14.4 合并转写稿
转写时间：2026-06-14 18:37:33
模型：faster-whisper-base，本地 CPU int8

# 14.3.m4a 转写稿
来源文件：/Users/xiaodi/Downloads/14.3.m4a

[0002.06 - 0005.82] 或一点油浅就用一条直线与这条直线平行
[1102.69 - 1103.89] 你知道a2是否传过
[1103.89 - 1105.09] 都是我的
[1105.09 - 1107.89] 这个每个单项是细术
[1107.89 - 1109.09] 那是不是现在告诉我的
[1109.09 - 1111.69] 这些细术从长数下
[1111.69 - 1113.29] 1次向2次向的细术
[1113.29 - 1116.09] 一直往后应该是地增的关系
[1116.09 - 1117.29] 而且不能去等
[1117.29 - 1118.29] 全部都是地增
[1118.29 - 1118.89] 对不对
[1118.89 - 1119.89] 后面就是那个
[1119.89 - 1120.89] 高次向的细术
[1120.89 - 1121.49] 必须别
[1121.49 - 1122.49] 下面有一项
[1122.49 - 1123.49] 第一次向细术
[1123.49 - 1124.29] 必须打
[1124.29 - 1124.69] 对不对
[1124.69 - 1125.69] 而且也不是五千大
[1125.69 - 1126.69] 你们都不要在
[1126.69 - 1128.29] 小约等于15的方式内
[1128.29 - 1130.29] 而且这里是最后是可以去等的
[1130.29 - 1131.89] 那也就是说你的最后一项
[1131.89 - 1133.49] an是可以等于
[1135.93 - 1137.13] 是可以等于15的
[1137.13 - 1137.73] 有没有点
[1137.73 - 1138.73] 这些东西到一个一个的
[1138.73 - 1140.13] 先翻一号了
[1140.13 - 1140.93] 你能没有
[1140.93 - 1141.73] 这就来这些
[1141.73 - 1142.33] 记好了
[1142.33 - 1143.33] 我们再去做剩下的
[1143.33 - 1144.93] 面子就忘了你的条件了
[1144.93 - 1145.73] 然后
[1145.73 - 1146.73] an
[1146.73 - 1147.53] 姐给i姐
[1147.53 - 1148.93] 这些我们是遇见过
[1148.93 - 1149.93] 就是i是什么
[1149.93 - 1151.13] 就是挡钱这一个
[1151.13 - 1152.33] i姐的衣是什么吗
[1152.33 - 1153.13] 前面那一本
[1153.13 - 1153.73] 对不对
[1153.73 - 1153.93] 对不对
[1153.93 - 1154.73] 怎么理解
[1154.73 - 1155.73] 把翻译为
[1155.73 - 1156.73] 后面的一项
[1156.73 - 1158.93] 必须比前面的一项
[1158.93 - 1161.73] 要大二或者是三
[1161.73 - 1162.73] 那你就不能说是
[1162.73 - 1164.33] 你是一下面就是二流
[1164.33 - 1166.13] 你是一下面那个最少试了
[1166.13 - 1167.73] 三或者是同课
[1168.13 - 1168.93] 对不对
[1168.93 - 1169.93] 然后呢
[1169.93 - 1171.13] iB是一项
[1171.13 - 1171.73] 没方便
[1171.73 - 1172.33] 如果你i为你
[1172.33 - 1173.53] 你刚才前一项没有
[1173.53 - 1174.33] 对不对
[1174.33 - 1175.53] 你i为你没有前一项
[1175.53 - 1176.33] 好下面
[1176.33 - 1177.93] 是不是我们整个提款了
[1177.93 - 1178.93] 突然就是在一项一项一项
[1178.93 - 1179.33] 一项一项一项
[1179.33 - 1180.33] 出来好像脑子里面
[1180.33 - 1181.53] 多了很多的
[1181.53 - 1182.93] 需要注意的重点
[1182.93 - 1183.73] 是不是
[1183.73 - 1184.53] 是能多理解的
[1184.53 - 1185.33] 然后现在我们要选
[1185.33 - 1185.93] 说话进去的
[1185.93 - 1186.73] 一个一个来
[1186.73 - 1188.13] 如果a0每一
[1189.13 - 1191.13] 得a4的最小值
[1191.13 - 1192.45] 由a0推a4
[1192.45 - 1194.13] 所有唯一条件就在这嘛
[1194.13 - 1194.73] 对不对
[1194.73 - 1195.13] 所以
[1195.13 - 1195.93] 我们去比
[1195.93 - 1197.13] 把这段波列出来
[1197.13 - 1198.33] a0应该小于a1
[1198.33 - 1199.29] 应该小于a2
[1199.29 - 1200.53] 应该小于a3
[1200.53 - 1202.53] 应该小于a4
[1202.53 - 1204.53] 然后a1如果等于1了
[1204.53 - 1205.93] 因为它是最小
[1205.93 - 1207.33] 但是让每一项工
[1207.33 - 1208.93] 尽量是最小的就可以了
[1208.93 - 1210.53] 那你一个差就只能是
[1210.53 - 1211.93] 二不漏13
[1211.93 - 1212.53] 对不对
[1212.53 - 1213.73] 所以我如果加二是你
[1213.73 - 1214.73] 最小是3
[1214.73 - 1215.73] 你最小是
[1215.73 - 1216.73] 我你最小是
[1216.73 - 1217.13] 七
[1217.13 - 1218.13] 你最小是
[1218.13 - 1218.73] 九
[1218.73 - 1219.13] 来
[1219.13 - 1220.13] 正确
[1220.13 - 1220.93] 最大的话是
[1220.93 - 1223.53] 就是去让它们全部都差位
[1223.53 - 1225.13] 三项就可以求出来最大
[1225.13 - 1225.53] 对不对
[1225.53 - 1226.93] 一面一面
[1226.93 - 1228.13] 好再来
[1228.13 - 1228.93] 它说
[1228.93 - 1230.73] 当n等于4的时候
[1230.73 - 1231.93] 不存在
[1231.93 - 1232.73] a1
[1232.73 - 1233.53] 总是的a1
[1233.53 - 1234.93] 使得a4等于3
[1234.93 - 1235.93] 对
[1237.93 - 1238.73] 那n等于4
[1238.73 - 1240.33] 后才是去写一下吧
[1240.33 - 1241.73] 我是为它写成
[1241.73 - 1242.93] 这个n等于4
[1242.93 - 1245.13] 应该是从a4
[1245.13 - 1245.33] a4
[1245.33 - 1245.73] a4
[1245.73 - 1247.13] 4成方一直到
[1247.13 - 1248.33] a4
[1248.33 - 1249.33] a4
[1249.33 - 1249.93] a4
[1249.93 - 1250.33] a4
[1250.33 - 1251.33] a1
[1251.33 - 1251.93] a4
[1251.93 - 1253.33] a0
[1253.33 - 1254.93] 就是这五项
[1254.93 - 1256.33] 五个戏数
[1256.33 - 1256.93] 对不对
[1256.93 - 1257.53] 然后呢
[1257.53 - 1258.13] 它说
[1258.13 - 1259.33] 不存在
[1259.33 - 1260.33] 使得
[1261.33 - 1262.53] 那我就去
[1262.53 - 1262.93] 假
[1262.93 - 1264.93] 因为它说得不存在
[1264.93 - 1266.33] 但是我不存在我做出来
[1266.33 - 1267.33] 我直接就去
[1267.33 - 1269.53] 假设它是可以的东西
[1269.53 - 1270.73] 我假设现在
[1270.73 - 1272.93] a2跟a4就是三倍关系
[1272.93 - 1273.93] 然后我如果做出来
[1273.93 - 1275.33] 能够
[1275.33 - 1277.93] 推出n确实是4
[1277.93 - 1279.13] 我是不是成立了
[1279.13 - 1279.73] 哦
[1279.73 - 1280.93] 这反正是
[1280.93 - 1281.33] 我
[1281.33 - 1282.33] 我不计可我就知道
[1282.33 - 1283.53] 这种的可以很难
[1283.53 - 1284.73] 我们就假设
[1284.73 - 1285.73] 目前的a2
[1285.73 - 1286.93] 就是三倍吧
[1286.93 - 1288.05] 如果推出来
[1288.05 - 1290.13] 符合在上面的所有的条件
[1290.13 - 1291.13] 就说明是成立了
[1291.13 - 1291.73] 对不对
[1291.73 - 1293.53] 如果跟上面任何某一个条件
[1293.53 - 1294.13] 冲突了
[1294.13 - 1295.73] 是不是就说明不存在
[1295.73 - 1297.13] 懂我这个逻辑吗
[1297.13 - 1297.73] 懂我这女人
[1297.73 - 1298.13] 因为
[1298.13 - 1298.73] 因为我觉得
[1298.73 - 1299.53] 从上面的
[1299.53 - 1300.73] 我下面去推
[1300.73 - 1302.13] a2跟a3
[1302.13 - 1302.93] a2跟a4
[1302.93 - 1304.93] 有个三倍的关系好困难哦
[1304.93 - 1306.53] 我干脆从这倒回
[1306.53 - 1307.33] 我现在假设
[1307.33 - 1308.73] a2就是
[1308.73 - 1309.73] 来个字母
[1311.93 - 1312.53] a4不好
[1312.53 - 1313.93] 外国了
[1313.93 - 1314.93] a也不好
[1315.53 - 1316.53] OK
[1320.16 - 1321.56] 大写的a啊
[1321.56 - 1321.96] 行吧
[1321.96 - 1322.56] 那假设现在
[1322.56 - 1325.16] a2就是大写的a可以过
[1325.16 - 1327.56] 那a4
[1327.56 - 1330.56] 是不是就需要是三倍的
[1332.56 - 1334.56] 然后a2到a4的话
[1334.56 - 1336.56] 是不应该是中间去做差挥的
[1337.56 - 1338.56] 然后中间做差挥
[1338.56 - 1340.56] 是一样的是
[1340.56 - 1341.36] 差为二
[1341.36 - 1342.16] 不差为三
[1342.16 - 1343.16] 让我们谈业组合的
[1343.16 - 1344.76] 还是就有跑起种情况嘛
[1344.76 - 1345.76] 就是如果
[1345.76 - 1348.76] 从他的他是加二的话
[1348.76 - 1349.76] 是不是从他的
[1349.76 - 1351.76] 他是可以加二也可以加三
[1351.76 - 1353.76] 然后突破已经确认从
[1353.76 - 1355.36] a2到a3是加二了
[1355.36 - 1358.36] 然后由这儿一直推到a
[1358.36 - 1359.36] 推到这儿去
[1359.36 - 1361.76] 是不是又有可能是加二回加三两步情况
[1361.76 - 1363.76] 知道我的说什么吗
[1363.76 - 1364.76] 然后如果说
[1364.76 - 1365.96] 从a2推a3
[1365.96 - 1367.36] 已经确认是a3
[1367.36 - 1369.36] 但是又有两种情况
[1369.36 - 1372.36] 推到a4去可能是加二和加三
[1372.36 - 1373.36] 没有提到
[1373.36 - 1374.76] 因此五分钟四种情况
[1374.76 - 1375.76] 对不对
[1375.76 - 1376.76] 第一种情况里面
[1376.76 - 1380.76] 是a加二加二加四
[1380.76 - 1382.76] 刚好等约3a
[1382.76 - 1386.76] 第二种情况是a加二加三
[1386.76 - 1387.76] 一个加五
[1387.76 - 1389.76] 我刚好等约3a
[1389.76 - 1390.76] 第三种情况就是
[1390.76 - 1393.76] a加三加二加五
[1393.76 - 1394.76] 然后就说一样
[1394.76 - 1395.76] 是不是
[1395.76 - 1396.76] 然后第三种情况说的是
[1396.76 - 1397.76] 加三加三
[1397.76 - 1399.76] a加六
[1399.76 - 1401.76] 如果我都算出这个
[1401.76 - 1403.76] a确实是一个
[1403.76 - 1405.76] 符合要求的
[1405.76 - 1406.76] 符合这里要求
[1406.76 - 1408.76] 或者也符合这里要求
[1408.76 - 1409.76] 这个证据处处就可以了
[1409.76 - 1410.76] 我觉得你要存在一定符合
[1410.76 - 1412.76] 因为我就是按照你要出来
[1412.76 - 1413.76] 到推了是不是
[1413.76 - 1414.76] 都是不是只要去
[1414.76 - 1415.76] 检查是不是这个
[1415.76 - 1416.76] 和这个
[1416.76 - 1417.76] 我们来看一下它
[1417.76 - 1418.76] 那这里把这个a1
[1418.76 - 1419.76] 二a等约4
[1419.76 - 1421.76] 那a4等约2
[1421.76 - 1425.58] a等约2
[1425.58 - 1426.58] a等约2
[1426.58 - 1427.58] 开A不行
[1427.58 - 1429.58] a是a2的位置
[1429.58 - 1430.58] a是a2的位置
[1430.58 - 1431.58] 它等约2
[1431.58 - 1432.58] 然后我往后倒进去
[1432.58 - 1434.58] 它就没有分了
[1434.58 - 1435.58] 能约是吗
[1435.58 - 1437.58] 因为它倒推的话
[1437.58 - 1439.58] 它最多是指的位置
[1439.58 - 1440.58] 它就没有分了吗
[1440.58 - 1442.58] 所以它应该是排约了
[1442.58 - 1443.58] 然后这里
[1443.58 - 1445.58] a等约2
[1445.58 - 1447.58] 就我来问不行了
[1447.58 - 1449.58] 这个处整数
[1449.58 - 1451.58] 全程整数
[1451.58 - 1452.58] 对不对
[1452.58 - 1453.58] 然后这里
[1453.58 - 1455.58] a等约3
[1455.58 - 1456.58] 也不行
[1456.58 - 1457.58] 它是3
[1457.58 - 1458.58] 我剪2
[1458.58 - 1459.58] 一
[1459.58 - 1461.58] 再想一想没有了
[1461.58 - 1462.58] 能约是吗
[1462.58 - 1463.58] 天懂吗
[1463.58 - 1465.58] 切统跟我的说什么吗
[1465.58 - 1466.58] ok
[1466.58 - 1467.58] 你猛来
[1467.58 - 1469.58] 你是不是啊
[1469.58 - 1470.58] 你是不是啊我刚过来
[1470.58 - 1471.58] 你是猛来过来
[1471.58 - 1472.58] 你做的就没关系啊
[1472.58 - 1474.58] 好 所以这里面是三个都不小
[1474.58 - 1475.58] 别说说什么
[1475.58 - 1477.58] 我假设你的这一个
[1477.58 - 1479.58] 使得结论成立
[1479.58 - 1481.58] 结果我推出来的数据
[1481.58 - 1483.58] 跟主题概要
[1483.58 - 1485.58] 被似的冲突
[1485.58 - 1486.58] 老出事
[1486.58 - 1487.58] 被似的主题概要
[1487.58 - 1488.58] 因此你应该是从
[1488.58 - 1489.58] 如果我做出来
[1489.58 - 1491.58] 被主题概的一毛一样的
[1491.58 - 1493.58] 就是完全符合主题概的各种
[1493.58 - 1494.58] 千七百块的要求
[1494.58 - 1495.58] 祝质说明你
[1495.58 - 1497.58] 是可以存在的
[1497.58 - 1498.58] 听到的说什么吗
[1498.58 - 1499.58] 以后就这种选择
[1499.58 - 1500.58] 提好
[1500.58 - 1501.58] 原来都给你某一个
[1501.58 - 1502.58] 结论呢
[1502.58 - 1503.58] 你最好是结婚到回
[1503.58 - 1504.58] 会更简单一点
[1506.58 - 1508.58] 对个败
[1508.58 - 1509.58] 有没有问题
[1509.58 - 1510.58] 好
[1510.58 - 1511.58] 然后
[1511.58 - 1512.58] 把这两个比起做手
[1512.58 - 1513.58] 插一下
[1513.58 - 1514.58] 我也要双个笔
[1514.58 - 1515.58] 我看你这
[1515.58 - 1516.58] 怎么放我运气
[1516.58 - 1517.58] 我这把手摸
[1517.58 - 1519.58] 它这是好好的
[1527.56 - 1528.56] 张哥人
[1528.56 - 1530.56] 我把你的
[1530.56 - 1531.56] 你用来生命挑产了
[1531.56 - 1532.56] 但是我刚才
[1532.56 - 1533.56] 摆滚
[1533.56 - 1558.30] 不行
[1558.30 - 1561.61] 那因为它心目比
[1561.61 - 1563.61] 是叫
[1563.61 - 1564.61] 行
[1564.61 - 1583.62] 我都不应该是我
[1583.62 - 1584.62] 你停动的
[1584.62 - 1585.62] 我你停没
[1585.62 - 1586.62] 最后我可是
[1586.62 - 1587.62] 听我的
[1587.62 - 1588.62] 过脑这么用
[1588.62 - 1589.62] 过脑吧
[1589.62 - 1590.62] 过脑吧
[1590.62 - 1591.62] 过脑吧
[1592.62 - 1593.62] 过脑吧
[1593.62 - 1594.62] 过脑吧
[1594.62 - 1595.62] 过脑吧
[1595.62 - 1596.62] 过脑吧
[1596.62 - 1597.62] 过脑吧
[1597.62 - 1598.62] 过脑吧
[1598.62 - 1599.62] 过脑吧
[1599.62 - 1600.62] 你也在理解一遍
[1600.62 - 1605.12] 边理解一遍操
[1605.12 - 1606.12] 把那个逻辑
[1606.12 - 1607.12] 这次脑袋里面大了
[1607.12 - 1609.12] 我里面去
[1609.12 - 1659.15] 重新转个弯
[1659.15 - 1660.15] 我觉得这个
[1660.15 - 1662.15] 应该手机可以拍开
[1662.15 - 1663.15] 对我你一个拍的
[1663.15 - 1664.15] 是第一
[1664.15 - 1665.15] 怎么样
[1665.15 - 1666.15] 很好
[1666.15 - 1667.15] 很好
[1667.15 - 1668.15] 好
[1668.15 - 1669.15] 然后第三个
[1669.15 - 1671.15] 当N等于二的时后
[1671.15 - 1673.15] 你这个东西我必确认什么
[1673.15 - 1674.15] 对
[1674.15 - 1675.15] 我是可以把一个整式
[1675.15 - 1676.15] 确认下来
[1676.15 - 1677.15] A2
[1677.15 - 1678.15] 一直A2
[1678.15 - 1679.15] 还是能放到A1去
[1679.15 - 1681.15] 把这个长
[1681.15 - 1685.15] 然后应该是
[1685.15 - 1686.15] A2
[1686.15 - 1687.15] 加A1
[1687.15 - 1688.15] 加A0
[1688.15 - 1689.15] 就是我
[1689.15 - 1690.15] 到A1
[1690.15 - 1691.15] 整式
[1691.15 - 1692.15] 对对对对
[1692.15 - 1693.15] 然后说
[1693.15 - 1694.15] 现在如果
[1694.15 - 1696.15] A1加A1加A2是
[1696.15 - 1697.15] 五都被处
[1697.15 - 1698.15] 但是让我比较读
[1698.15 - 1699.15] 在家中我帮有
[1699.15 - 1700.15] 二的这个
[1700.15 - 1701.15] 合一的机艺
[1701.15 - 1702.15] 是知道看过三分之间
[1702.15 - 1703.15] 应该是存在模仿关系的
[1703.15 - 1705.15] 就是关系我会被去
[1705.15 - 1706.15] 可以一下
[1706.15 - 1708.95] 你肯定是要去把他们全部都找上关系
[1708.95 - 1710.15] 换圆换成一步
[1710.15 - 1711.83] 销员销唇一步一步出呗
[1711.83 - 1713.69] 不能了A0A1A2
[1713.69 - 1714.95] 三步一步一步一步一步一步一步
[1714.95 - 1715.71] 什么时候
[1715.71 - 1716.15] 对不对
[1716.15 - 1716.95] 看一下吗
[1716.95 - 1717.95] 呃
[1717.95 - 1718.75] 由谁推呢
[1718.75 - 1719.95] 由最小的吧
[1719.95 - 1722.15] 就是A0A1
[1722.15 - 1723.15] 跟A2
[1723.15 - 1725.15] 我是可以由A0去推
[1725.15 - 1726.15] 然后
[1726.15 - 1727.45] 那就以A0为基准
[1727.45 - 1728.75] A0就是A0
[1728.75 - 1730.75] 那A1一的话是有可能
[1730.75 - 1731.75] 是加2
[1731.75 - 1734.15] 有可能是加3
[1734.15 - 1735.65] 然后你到A2
[1735.65 - 1737.65] 有可能是加2
[1737.65 - 1738.65] 加3
[1738.65 - 1739.65] 加3
[1739.65 - 1740.65] 所以要我们去讯论什么
[1740.65 - 1741.65] 你是A0
[1741.65 - 1742.65] 你是A0
[1742.65 - 1743.65] 你加2
[1743.65 - 1744.65] 你是A0
[1744.65 - 1746.65] 你加2
[1746.65 - 1747.65] 加2
[1747.65 - 1748.65] 加2
[1748.65 - 1749.65] 加3
[1749.65 - 1750.65] 加2
[1750.65 - 1751.65] 是加2
[1751.65 - 1752.65] 加4
[1752.65 - 1753.65] 然后又可能你是A0
[1753.65 - 1754.65] 你是A0
[1754.65 - 1755.65] 你加2
[1755.65 - 1756.65] 你是A0
[1756.65 - 1757.65] 你加5
[1757.65 - 1758.65] 然后又可能你是A0
[1758.65 - 1759.65] 你不可以跟加2
[1759.65 - 1760.65] 你是A0
[1760.65 - 1761.65] 你加3
[1761.65 - 1762.65] 那你是A0
[1762.65 - 1763.65] 你加5
[1763.65 - 1765.65] 你加5
[1765.65 - 1766.65] 加3加2
[1766.65 - 1767.65] 是加5
[1767.65 - 1768.65] 然后
[1768.65 - 1769.65] 你是A0
[1769.65 - 1770.65] 你是A0
[1770.65 - 1771.65] 你加3
[1771.65 - 1772.65] 你是A0
[1772.65 - 1773.65] 你加6
[1773.65 - 1774.65] 对不对
[1774.65 - 1775.65] 然后现在
[1775.65 - 1776.65] 现在是A0A1
[1776.65 - 1777.65] A2对我了
[1777.65 - 1778.65] 倒是可以
[1778.65 - 1779.65] 说它们三个合
[1779.65 - 1780.65] 它们三个合
[1780.65 - 1781.65] 分别同时
[1781.65 - 1783.65] 三倍A0
[1783.65 - 1784.65] 加6
[1784.65 - 1786.65] 三倍A0
[1786.65 - 1787.65] 加1
[1787.65 - 1789.65] 三倍A0
[1789.65 - 1790.65] 加8
[1790.65 - 1793.48] 加9
[1793.48 - 1794.48] 好
[1794.48 - 1796.48] 现在最晚也就是我的A0
[1796.48 - 1797.48] 加1
[1797.48 - 1798.48] 加2
[1798.48 - 1799.48] 它要干嘛呢
[1799.48 - 1800.48] 15的
[1800.48 - 1801.48] 它也是说
[1801.48 - 1803.48] 其实按钮说5个是帮我们是可以没去的
[1803.48 - 1804.48] 但问题是
[1804.48 - 1805.48] 问题没去的话
[1805.48 - 1806.48] 还是很入误
[1806.48 - 1807.48] 所以你考虑脑数
[1807.48 - 1808.48] 然后分别考虑的
[1808.48 - 1809.48] 我的倍数完畢了
[1809.48 - 1810.48] 5
[1810.48 - 1811.48] 10
[1811.48 - 1812.48] 15
[1812.48 - 1813.48] 20
[1813.48 - 1814.48] 但是
[1814.48 - 1816.48] 分别考虑的那个时刻才是口
[1816.48 - 1817.48] 然后又要困难
[1817.48 - 1819.48] 所以我当时我本来第一想要
[1819.48 - 1820.48] 5
[1820.48 - 1821.48] 5
[1821.48 - 1822.48] 10
[1822.48 - 1823.48] 5
[1823.48 - 1824.48] 我发现太多了
[1824.48 - 1825.48] 是不是
[1825.48 - 1826.48] 我们说得去找
[1826.48 - 1827.48] 它们的范围
[1827.48 - 1828.48] 要领破先
[1828.48 - 1829.48] 抱起去
[1829.48 - 1831.48] 然后又会发现我们找范围的
[1831.48 - 1832.48] 它的信息在哪里呢
[1832.48 - 1833.48] 就是这
[1833.48 - 1835.48] 对它们都会小于点约
[1835.48 - 1836.48] 10
[1836.48 - 1837.48] 我
[1837.48 - 1838.48] 也就是说什么呢
[1838.48 - 1840.48] 你说A0会小于
[1840.48 - 1842.48] 我们选最小的吧
[1842.48 - 1843.48] 好吧
[1843.48 - 1844.48] 因为如果我们加3
[1844.48 - 1845.48] 就会还有可能
[1845.48 - 1846.48] 6个去情况
[1846.48 - 1847.48] 对不对
[1847.48 - 1848.48] 但如果你最保守的情况
[1848.48 - 1849.48] 说就是A0
[1849.48 - 1850.48] 加2
[1850.48 - 1851.48] 小于A0
[1851.48 - 1852.48] 加2
[1852.48 - 1854.48] 然后应该是
[1854.48 - 1855.48] 小于的于15的
[1855.48 - 1856.48] 那
[1856.48 - 1858.48] 要把情况保证
[1858.48 - 1859.48] 保证的都完整
[1859.48 - 1860.48] 是就是
[1860.48 - 1862.48] A0加4的于15
[1862.48 - 1863.48] 对不对
[1863.48 - 1865.48] 那A0加4的于15
[1865.48 - 1866.48] 就是对着A0
[1866.48 - 1869.48] 最多的于11
[1869.48 - 1871.48] 反正最少的话
[1871.48 - 1872.48] 肯定还有
[1872.48 - 1873.48] 比如说你就是你加3
[1873.48 - 1874.48] 再加3对不对
[1874.48 - 1875.48] 然后并且
[1875.48 - 1877.48] 让它
[1877.48 - 1878.48] 比15
[1878.48 - 1879.48] 还要小很多很多
[1879.48 - 1880.48] 说就可以求最小
[1880.48 - 1881.48] 没必要
[1881.48 - 1882.48] 对不对
[1882.48 - 1883.48] 我们说
[1883.48 - 1884.48] 这你可以亏出来A0
[1884.48 - 1886.48] 最多
[1886.48 - 1888.48] 是在11的
[1888.48 - 1889.48] 然后最少的话
[1889.48 - 1890.48] 那是
[1890.48 - 1891.48] A0是C负质
[1891.48 - 1892.48] 说是大一点
[1892.48 - 1893.48] A0
[1893.48 - 1894.48] 所以我们可可以去
[1894.48 - 1896.48] 利用A0的三位于一节
[1896.48 - 1897.48] 就是这种情况
[1897.48 - 1899.48] 10到11
[1899.48 - 1900.48] 去
[1900.48 - 1901.48] 好了
[1901.48 - 1902.48] 然后我来讲一下
[1902.48 - 1904.48] 如果A0等于
[1904.48 - 1906.48] 0是这小情况
[1906.48 - 1908.48] A9E0在i7的自败下
[1908.48 - 1909.48] 0的话
[1909.48 - 1910.48] 人家都是5的被说
[1910.48 - 1911.48] 它可以吗
[1911.48 - 1912.48] 不可
[1912.48 - 1913.48] 它可以吗
[1913.48 - 1914.48] 不可
[1914.48 - 1915.48] 它都是行质
[1915.48 - 1916.48] 才了
[1916.48 - 1917.48] 对不对
[1917.48 - 1919.48] 然后A0如果哪个于1的话
[1919.48 - 1920.48] 它是5的被说吗
[1920.48 - 1921.48] 5是
[1921.48 - 1922.48] 3加6
[1922.48 - 1923.48] 1
[1923.48 - 1924.48] 所以它可以
[1924.48 - 1925.48] 是这样
[1925.48 - 1926.48] 然后就算了情况出来
[1926.48 - 1927.48] 跟为什么
[1927.48 - 1928.48] 我不算
[1928.48 - 1930.48] 我会让你5成被包
[1930.48 - 1931.48] 然后比如说
[1931.48 - 1932.48] A0的原因
[1932.48 - 1933.48] 它可以啊
[1933.48 - 1934.48] 正面
[1934.48 - 1935.48] OK
[1935.48 - 1936.48] A0的意思是它可以
[1936.48 - 1937.48] 即算是大家购买
[1937.48 - 1939.48] 然后A1的意思是它
[1939.48 - 1940.48] 也不选择
[1940.48 - 1941.48] 要是说
[1941.48 - 1942.48] 又A0等于2
[1942.48 - 1944.48] 再去对照这四个情况
[1944.48 - 1946.48] A1等于2的时候
[1946.48 - 1948.48] 最后一个可以
[1948.48 - 1949.48] 所以
[1949.48 - 1950.48] 它
[1950.48 - 1951.48] 所以是不是啊
[1951.48 - 1952.48] 然后就又做一个胆出来
[1952.48 - 1953.48] 为什么要
[1953.48 - 1954.48] 然后就一直没举到
[1954.48 - 1956.48] A0等于11
[1956.48 - 1957.48] 对付这四种情况
[1957.48 - 1958.48] 去犯
[1958.48 - 1959.48] 可以是
[1959.48 - 1960.48] 是5的被说
[1960.48 - 1961.48] 就写在后面
[1961.48 - 1962.48] 然后将所有
[1962.48 - 1964.48] 满足情况到
[1964.48 - 1965.48] A0
[1965.48 - 1966.48] 我列在一起
[1966.48 - 1967.48] 去推出
[1967.48 - 1968.48] 什么
[1968.48 - 1970.48] 推出它们所对应的
[1970.48 - 1971.48] A1等
[1971.48 - 1972.48] A2
[1972.48 - 1973.48] 然后找出
[1973.48 - 1974.48] 所有的整式
[1974.48 - 1975.48] 他们在学习上讲
[1975.48 - 1976.48] 能浅吗
[1976.48 - 1977.48] 而且
[1977.48 - 1978.48] 这个例子
[1978.48 - 1979.48] 我在自己的融合是什么
[1979.48 - 1980.48] 比如说
[1980.48 - 1981.48] 我说
[1981.48 - 1982.48] 我刚才是A1是可以的
[1982.48 - 1983.48] A1是在它回应
[1983.48 - 1984.48] 在它回应
[1984.48 - 1985.48] 在它回应
[1985.48 - 1986.48] 在它回应
[1986.48 - 1987.48] 要去求A2
[1987.48 - 1988.48] 就应该是在它
[1988.48 - 1990.48] 得这一套语程哦
[1990.48 - 1991.48] 一别等到
[1991.48 - 1992.48] 这些
[1992.48 - 1993.48] 不只缺了
[1993.48 - 1995.48] 所以当A1等于1的时候
[1995.48 - 1997.48] A1只能是
[1997.48 - 2000.48] 3A2只能是
[2000.48 - 2001.48] 6
[2001.48 - 2002.48] 不会是这样
[2002.48 - 2003.48] 不会是这样
[2003.48 - 2005.48] 因为这一个
[2005.48 - 2007.48] 这个多项是
[2007.48 - 2009.48] 是利用这一排
[2009.48 - 2012.48] A1A1A2的关系得出来了
[2012.48 - 2013.48] 那A1等于它的时候
[2013.48 - 2014.48] 只有它可以
[2014.48 - 2015.48] 所以
[2015.48 - 2016.48] 直接确定的此时
[2016.48 - 2018.48] A1等于1的时候
[2018.48 - 2019.48] A1跟A2
[2019.48 - 2020.48] 唯一的情况
[2020.48 - 2022.48] 听了我的同同吗
[2022.48 - 2023.48] 做的比较
[2023.48 - 2024.48] 接触的比较
[2024.48 - 2025.48] 回去在那边
[2026.48 - 2031.32] 其实
[2031.32 - 2032.32] 越做越多的话
[2032.32 - 2033.32] 但是
[2033.32 - 2034.32] 发现这个比较
[2034.32 - 2035.32] 越来越简单
[2035.32 - 2037.32] 最开始我觉得很难啊
[2037.32 - 2038.32] 是多多
[2038.32 - 2155.25] 然后
[2155.25 - 2156.25] 下面
[2156.25 - 2157.25] 田空鞋看一下
[2159.25 - 2160.25] 这个15T
[2160.25 - 2161.25] 我说一下
[2161.25 - 2162.25] 就是特别是这80的
[2162.25 - 2163.25] 几道度书
[2163.25 - 2164.25] 你看到没有
[2164.25 - 2165.25] 人家后面
[2165.25 - 2172.24] 这几道邻经的度书问题
[2172.24 - 2174.24] 它在这个
[2174.24 - 2175.24] 红线的右上角
[2175.24 - 2177.24] 都是有个全穿的
[2177.24 - 2178.24] 所以
[2178.24 - 2179.24] 就是它已经给了度书
[2179.24 - 2180.24] 你们写的就是不能写的
[2180.24 - 2181.24] 度书
[2181.24 - 2182.24] 你们要和一些
[2182.24 - 2183.24] 给了做符号
[2183.24 - 2184.24] 写的就是不能带符号
[2184.24 - 2185.24] 如果你们带了符号
[2185.24 - 2187.24] 就符号重复了
[2187.24 - 2188.24] 也会扣分
[2188.24 - 2189.24] 一分不上
[2189.24 - 2190.24] 四分全扣
[2190.24 - 2191.24] 如果
[2191.24 - 2192.24] 它
[2192.24 - 2193.24] 但是
[2193.24 - 2194.24] 所以你每次主要是这种体验
[2194.24 - 2195.24] 你到去
[2195.24 - 2196.24] 检查猜有没有单位
[2196.24 - 2197.24] 东西是没有
[2197.24 - 2198.24] 如果它没有单位
