# 万象三路 11.m4a 转写稿
# source_wav: /tmp/wanxiangsanlu_11_16k.wav
# generated_at: 2026-05-23T21:26:56

[0.78-3.68] 好 哪个东西
[3.68-5.78] 我先给你们讲 来讲一下
[6.78-11.28] 懂电文件其实是在上一公斗两公斤狂
[1994.28-1995.28] 评论
[1995.28-1996.28] 评论
[1997.28-1998.28] 然后我两个说
[1998.28-1999.28] 人们说
[1999.28-2000.28] 是不是评论
[2000.28-2001.28] 评论
[2001.28-2004.61] 评论
[2004.61-2005.61] 啊
[2006.61-2007.61] 评论
[2007.61-2008.61] 评论
[2009.61-2010.61] 评论
[2010.61-2011.61] 评论
[2011.61-2012.61] 评论
[2012.61-2013.61] 评论
[2013.61-2014.61] 评论
[2014.61-2015.61] 那时候
[2015.61-2016.61] 可以自语
[2016.61-2017.61] 教训你两条字
[2017.61-2018.61] 写的字
[2018.61-2020.61] 我刚才在家里过了十了
[2020.61-2022.61] 对不对,哪个家里有多少
[2022.61-2024.61] 去去教训应该多少
[2024.61-2026.61] 是不是哪个谁是伏作
[2026.61-2028.61] 那时候谁有多少
[2028.61-2029.61] 那个十有云
[2029.61-2030.61] 多了啊
[2030.61-2032.61] 那两个云
[2032.61-2043.32] 那你接我
[2043.32-2045.32] 没云
[2045.32-2046.32] 那你接我
[2046.32-2049.27] 你刚才没有云
[2049.27-2053.79] 我接我
[2053.79-2054.79] 我接我
[2054.79-2055.79] 我接
[2055.79-2056.79] 我接
[2056.79-2057.79] 我接我
[2057.79-2058.79] 接我
[2058.79-2059.79] 接我
[2059.79-2060.79] 接我
[2060.79-2061.79] 接我
[2061.79-2062.79] 然后
[2062.79-2064.79] 那个家里有一个哪个船
[2064.79-2066.79] 我已经那些船就不是
[2066.79-2067.79] 推过来了吗
[2067.79-2069.79] 推过这个船
[2069.79-2070.79] 推过这个船
[2070.79-2072.79] 是离
[2072.79-2073.79] 是离
[2073.79-2074.79] 是离
[2074.79-2075.79] 是离
[2075.79-2076.79] 是离
[2076.79-2077.79] 是离
[2077.79-2078.79] 那是不是
[2078.79-2079.79] 那个
[2079.79-2080.79] 十五多
[2080.79-2081.79] 是不是
[2081.79-2082.79] 哪一庄
[2082.79-2083.79] 哪一庄
[2083.79-2084.79] 最累的讯长
[2084.79-2085.79] 哪一庄
[2085.79-2086.79] 干嘛
[2086.79-2087.79] 哪一庄
[2087.79-2088.79] 哪一系
[2088.79-2089.79] 哪一庄
[2089.79-2090.79] 哪一庄
[2090.79-2092.79] 你刚刚有啥
[2092.79-2093.79] 对吧
[2093.79-2097.36] 那是不是是不是不得嘛
[2097.36-2098.36] 你一定不是的
[2098.36-2102.11] 对不对
[2102.11-2103.11] 心声
[2103.11-2104.11] 或者那个家里
[2104.11-2105.11] 那个家里
[2105.11-2107.93] 对吧
[2107.93-2108.93] 对吧
[2108.93-2109.93] 不跟
[2111.93-2113.93] 好 下一个
[2113.93-2115.93] 我给你江苏族
[2115.93-2116.93] 哪一庄
[2116.93-2117.93] 都是
[2117.93-2119.93] 不要简单
[2119.93-2120.93] 我们祝福了这个
[2120.93-2121.93] 这个
[2121.93-2123.93] 这个
[2123.93-2125.93] 看这个
[2126.93-2130.66] 下面有多顺库的吗
[2130.66-2131.66] 哪一庄
[2131.66-2132.66] 哪一庄
[2132.66-2134.66] 我们看
[2134.66-2135.66] 现在中央小体
[2135.66-2139.20] 里面有多顺库
[2139.20-2140.20] 我们看第三序
[2140.20-2142.20] 关注
[2142.20-2146.82] 还要亏别一个族
[2146.82-2147.82] 不过温族
[2147.82-2156.05] 亏别的
[2156.05-2156.57] 闪属
[2156.57-2157.57] 也有闪属
[2157.57-2213.32] 就都排出
[2213.32-2281.81] 人家
[2281.81-2282.81] 够了这个
[2282.81-2283.81] 是不是够了这个
[2283.81-2293.87] 这个
[2293.87-2294.87] 真去过温族
[2294.87-2370.95] 人家全上面
[2370.95-2371.95] 人家
[2371.95-2373.95] 人家
[2373.95-2374.95] 人家
[2374.95-2375.95] 人家
[2377.95-2378.95] 你
[2378.95-2385.01] 是
[2385.01-2386.01] 是
[2386.01-2408.96] 你
[2408.96-2409.96] 就是
[2409.96-2410.96] 什么
[2410.96-2411.96] 是
[2411.96-2412.96] 寿宕
[2412.96-2413.96] 宕宕
[2413.96-2418.20] 宕宕
[2418.20-2420.77] 宕宕
[2420.77-2421.77] 宕宕
[2421.77-2429.76] 宕宕
[2429.76-2431.76] 宕宕
[2431.76-2433.76] 宕宕
[2433.76-2434.76] 宕宕
[2434.76-2436.76] 宕宕
[2436.76-2439.60] 那你接我
[2439.60-2442.62] 不是。两个。不是你一个过渡嘛啊
[2442.62-2447.20] 是不是。不是谁也比我来个过渡嘛
[2447.20-2448.94] 过渡算人多多
[2448.94-2453.17] 你表示你是谁
[2453.17-2457.86] 谁比你。谁比你?
[2457.86-2469.03] 那你接我
[2469.03-2474.55] 谁比你是不是那个第一面
[2474.55-2476.43] 那个第一面对不对
[2476.43-2479.57] 她好像是在那边 什么里面装着
[2479.57-2482.67] 做脆衣裳 做脆衣 做脆衣裳衣裳衣
[2482.67-2484.43] 沒有問題
[2484.43-2487.43] 所以我會不會做脆衣呢 你借我
[2487.43-2490.23] 沒有理解他
[2490.23-2491.89] 他老闆你
[2491.89-2493.13] 你要不要死人家的骨骢
[2493.13-2493.85] 骨骢
[2493.85-2494.37] 骨骢
[2494.37-2494.77] 骨骢
[2494.77-2495.61] 骨骢
[2495.61-2496.61] 骨骢
[2496.61-2497.61] 啊
[2497.61-2502.87] 衣裳衣
[2502.87-2503.87] 來
[2504.87-2505.81] 嗯
[2505.81-2520.31] 好難念說什麼
[2520.31-2531.90] 都不是龍哥
[2531.90-2532.62] 我
[2532.62-2534.44] 是我衣裳衣
[2534.44-2538.86] 因為我還能夠脆衣裳
[2538.92-2539.80] 知道嗎
[2551.46-2553.24] 我都是雷個粒子
[2553.24-2554.98] 你只是雷個是養的嘛
[2554.98-2556.34] 去老巡的嘛
[2559.22-2560.04] 對不對
[2560.64-2561.98] 啊 現在說雷個粒
[2563.64-2564.56] 對吧
[2565.72-2567.44] 皮靈一路幾十二個雷皮粒
[2571.87-2574.15] 是不是都是在雷皮前段長程的
[2575.09-2575.59] 對吧
[2575.59-2576.85] 紫皮皮面
[2576.85-2578.43] 就是你高的最大隻的
[2578.43-2579.19] 你應該知道嗎
[2580.81-2581.81] 你家三十次的啊
[2582.67-2583.81] 看看他穿
[2583.81-2587.06] 安排到宗教室
[2619.73-2622.33] 安排到宗教宗教室
[2633.17-2636.11] 我脫華全都說出來
[2636.15-2638.25] 哪個是盧師多少給你收了
[2640.15-2642.39] 他藏報 gang的批評人數
[2642.39-2643.47] 叫你招留給了誰
[2644.33-2645.35] 這是我的意思
[2645.35-2646.07] 那是
[2646.09-2647.07] 對呀
[2647.07-2650.33] 或者就是事ric的社委
[2650.43-2653.07] 你看別人在選人會沒說的話
[2654.97-2657.23] 該把那 all
[2657.87-2659.49] 那你就嘈懂
[2659.57-2660.79] 那現在是不是要選
[2660.79-2663.99] Sappsick那個平面加過了
[2663.99-2666.79] 在國外對著打字的
[2666.79-2668.99] 平面是能不能
[2668.99-2670.99] 是不是在這邊等喔
[2670.99-2674.20] 三路去的東西
[2674.20-2678.11] 這幫他給我
[2678.11-2679.11] 連結不試了
[2679.11-2682.11] 連結不試了
[2682.11-2684.11] 我想出錯一座
[2684.11-2687.11] 這個Sapps平面出去
[2687.11-2690.71] 這個Sapps平面出去
[2690.71-2692.71] 連結不試了
[2692.71-2694.71] Sapps在那邊
[2694.71-2696.11] 那个头影子在那儿
[2696.83-2697.39] 是哪个人
[2697.39-2698.19] 你怎么就做出影子
[2698.19-2699.35] 是不是 哪个人是多少
[2699.35-2700.39] 哪个人是个灯片
[2701.03-2701.87] 没有人家
[2705.94-2706.82] 对 哪个人
[2707.38-2708.66] 是不是我做出影子
[2710.50-2711.50] 是不是我个人
[2712.58-2713.46] 你没有人家
[2714.86-2715.62] 没有人家
[2716.14-2716.66] 那我
[2716.66-2717.66] 那多完了
[2717.66-2718.70] 看到哪个人是出影子
[2718.70-2720.38] 我哪个人是哪个小刀
[2720.86-2721.70] 哪个是不是
[2721.70-2723.54] 我们把第一名词证给他
[2723.78-2724.54] 哪个是不是
[2724.54-2726.54] 哪个是哪个是哪个
[2727.54-2728.14] 干啥
[2728.14-2729.54] 干啥 对吧
[2730.30-2731.30] 好 啊
[2733.54-2734.06] 怎么样
[2736.69-2737.41] 北特
[2737.97-2739.17] 不好吗 也不过来吗
[2739.97-2740.97] 哪个人 你接不
[2741.85-2742.69] 那你接得啊
[2743.21-2743.97] 好 老板
[2744.89-2746.29] 等死来几家切
[2746.29-2747.13] 他说的那个
[2747.13-2749.17] 三运旋律你也求出来的一只傻子
[2750.17-2751.17] 求出来的东西傻子
[2751.17-2751.93] 你选择
[2751.93-2752.93] 是最小子
[2756.27-2757.19] 是最小子
[2757.19-2758.43] 鞋面狗最小子
[2761.74-2762.54] 对不对
[2762.62-2764.18] 你要求你是前面狗最小子
[2766.07-2766.59] 就是他儿子
[2766.59-2767.75] 对不对
[2769.75-2771.27] 老板又向外頻
[2772.07-2772.39] 老板
[2773.07-2773.51] 不是 真的
[2773.51-2774.07] 没有我严严的
[2774.07-2774.67] 嗯
[2775.11-2775.31] 没有你在
[2775.31-2775.83] 没人当然
[2776.35-2777.71] 我是没人
[2777.71-2778.79] 死是
[2778.79-2779.55] 哭
[2780.31-2781.15] 死去吗
[2781.95-2782.87] 死是没事
[2783.67-2784.39] 那你接不
[2786.35-2787.07] 那你接不
[2787.27-2787.87] 谁没过成这元疑
[2787.87-2788.91] 就要不要过来
[2791.31-2792.71] 老板想看这滩斤吸 человека
[2792.71-2794.71] 我以来是不是一个顶子是个耳朵
[2794.71-2795.71] 对啊
[2795.71-2797.71] 那是不是那个月小
[2797.71-2799.71] 月小
[2799.71-2803.12] 是不是越好
[2803.12-2805.12] 这个世界是不是月小
[2805.12-2806.12] 是不是越来高
[2806.12-2807.12] 最小还是你呢
[2807.12-2809.12] 最小还是你呢
[2809.12-2813.17] 不是脾气吗
[2813.17-2820.06] 脾气跟脾气从后
[2820.06-2822.06] 最小会是你呢
[2822.06-2823.06] 脾气跟脾气从后
[2823.06-2824.06] 不是你
[2824.06-2831.54] 那你怎么算
[2834.54-2835.54] 那你那个东西啊
[2835.54-2836.54] 那你那个东西啊
[2836.54-2838.54] 那个你说了
[2838.54-2839.54] 卑力
[2839.54-2840.54] 卑力高度是
[2840.54-2843.23] 30度多吗
[2843.23-2844.23] 对对
[2844.23-2846.23] 那个是个
[2846.23-2847.23] 那个是个
[2847.23-2848.23] 耳朵
[2848.23-2849.23] 耳朵
[2849.23-2850.23] 耳朵
[2850.23-2851.23] 耳朵
[2851.23-2852.23] 耳朵
[2852.23-2853.23] 耳朵
[2853.23-2854.23] 耳朵
[2854.23-2855.23] 耳朵
[2855.23-2856.23] 耳朵
[2856.23-2857.23] 耳朵
[2857.23-2858.23] 耳朵
[2858.23-2859.23] 耳朵
[2859.23-2860.23] 耳朵
[2860.23-2861.23] 耳朵
[2861.23-2862.23] 耳朵
[2862.23-2863.23] 耳朵
[2863.23-2865.80] 耳朵
[2865.80-2866.80] 耳朵
[2866.80-2867.80] 耳朵
[2867.80-2870.94] 耳朵
[2870.94-2871.94] 耳朵
[2871.94-2872.94] 耳朵
[2872.94-2873.94] 耳朵
[2873.94-2874.94] 耳朵
[2874.94-2875.94] 耳朵
[2875.94-2876.94] 耳朵
[2876.94-2877.94] 耳朵
[2877.94-2878.94] 耳朵
[2878.94-2879.94] 耳朵
[2879.94-2880.94] 耳朵
[2880.94-2881.94] 耳朵
[2881.94-2882.94] 耳朵
[2882.94-2883.94] 耳朵
[2883.94-2884.94] 耳朵
[2884.94-2885.94] 耳朵
[2885.94-2886.94] 耳朵
[2886.94-2887.94] 耳朵
[2887.94-2888.94] 耳朵
[2888.94-2889.94] 耳朵
[2889.94-2890.94] 耳朵
[2890.94-2891.94] 耳朵
[2891.94-2892.94] 耳朵
[2892.94-2893.94] 耳朵
[2893.94-2894.94] 耳朵
[2894.94-2895.94] 耳朵
[2895.94-2896.94] 耳朵
[2896.94-2897.94] 耳朵
[2897.94-2898.94] 耳朵
[2898.94-2900.48] 既然混销400
[2900.74-2901.76] 没有女的啊
[2902.02-2902.78] 没有女的啊
[2903.04-2905.34] 那H0我们都去消灯
[2906.62-2907.64] 那个是
[2907.90-2909.68] 那个是以那个是
[2909.94-2911.48] 路士多对吧
[2912.00-2913.02] 二分之个人三
[2913.28-2914.30] 二分之个人三
[2914.56-2915.84] 二分之个人三出一点消灯
[2916.10-2916.86] 二分之确点
[2917.12-2918.66] 两分之三对不对
[2919.68-2921.22] 二分之个人三
[2921.98-2923.00] 所以消灯
[2925.22-2927.78] 你把每个点搞清楚我打得出来了
[2927.98-2928.80] 说什么反应
[2929.06-2929.56] OK
[2929.82-2930.34] 说什么反应
[2930.60-2931.62] 大概三十岁小子
[2932.90-2933.16] 好
[2933.42-2934.18] 所以说我
[2934.44-2935.72] 我写很大的原理
[2935.98-2937.00] 什么的啊全部都是
[2937.26-2938.02] 统织写
[2939.30-2939.82] OK
[2940.32-2941.34] 全部都统织写
[2941.86-2943.66] 我们也周回期
[2943.90-2945.18] 要开始就逃对了
[2945.44-2946.72] 我们要开始出了一个了
[2947.24-2948.26] 我们还没讲话讲
[2948.52-2949.02] 我们把讲话
[2949.28-2949.80] 把眼睛说啊
[2950.06-2951.08] 我们在开始中复写
[2951.84-2952.86] 然后我们也就可以去
[2953.12-2953.90] 我们主要逃转
[2954.92-2956.46] 开始寂寞复训了OK
